depth,dim,heads,dropout,accuracy,f1_score
5.0,64.0,2.0,0.2,0.8,0.5
3.0,32.0,4.0,0.2,0.3,0.46153846153846156
5.0,32.0,4.0,0.3,0.5,0.4444444444444444
3.0,64.0,4.0,0.3,0.5,0.4444444444444444
5.0,64.0,4.0,0.2,0.5,0.4444444444444444
5.0,64.0,4.0,0.1,0.7,0.4
5.0,32.0,2.0,0.3,0.4,0.4
5.0,64.0,4.0,0.3,0.4,0.4
5.0,32.0,4.0,0.1,0.4,0.4
3.0,64.0,2.0,0.3,0.6,0.3333333333333333
3.0,32.0,2.0,0.2,0.5,0.2857142857142857
3.0,32.0,4.0,0.1,0.5,0.2857142857142857
5.0,64.0,2.0,0.3,0.5,0.2857142857142857
5.0,64.0,2.0,0.1,0.5,0.2857142857142857
5.0,32.0,2.0,0.1,0.5,0.2857142857142857
5.0,32.0,2.0,0.2,0.4,0.25
5.0,32.0,4.0,0.2,0.4,0.25
3.0,64.0,4.0,0.1,0.4,0.25
3.0,32.0,2.0,0.1,0.4,0.25
3.0,64.0,2.0,0.2,0.3,0.2222222222222222
3.0,64.0,2.0,0.1,0.3,0.2222222222222222
3.0,64.0,4.0,0.2,0.3,0.2222222222222222
3.0,32.0,2.0,0.3,0.3,0.2222222222222222
3.0,32.0,4.0,0.3,0.3,0.2222222222222222
