depth,dim,heads,dropout,accuracy,f1_score
3.0,64.0,2.0,0.1,0.8235294117647058,0.7692307692307693
3.0,32.0,4.0,0.2,0.7647058823529411,0.75
3.0,32.0,4.0,0.1,0.7647058823529411,0.75
5.0,64.0,2.0,0.3,0.7647058823529411,0.75
3.0,32.0,2.0,0.2,0.7647058823529411,0.75
3.0,64.0,2.0,0.3,0.7647058823529411,0.75
5.0,32.0,2.0,0.1,0.7058823529411765,0.7058823529411765
5.0,32.0,4.0,0.3,0.7058823529411765,0.7058823529411765
5.0,32.0,2.0,0.3,0.7058823529411765,0.7058823529411765
5.0,32.0,2.0,0.2,0.7058823529411765,0.7058823529411765
3.0,64.0,4.0,0.2,0.6470588235294118,0.6666666666666666
3.0,64.0,4.0,0.3,0.6470588235294118,0.6666666666666666
3.0,32.0,2.0,0.3,0.6470588235294118,0.6666666666666666
3.0,32.0,2.0,0.1,0.7647058823529411,0.6666666666666666
5.0,64.0,2.0,0.2,0.6470588235294118,0.6666666666666666
3.0,64.0,2.0,0.2,0.7058823529411765,0.6666666666666666
5.0,64.0,4.0,0.1,0.7647058823529411,0.6666666666666666
5.0,32.0,4.0,0.1,0.7647058823529411,0.6666666666666666
5.0,64.0,2.0,0.1,0.6470588235294118,0.6666666666666666
5.0,64.0,4.0,0.3,0.6470588235294118,0.6666666666666666
3.0,64.0,4.0,0.1,0.7647058823529411,0.6
5.0,64.0,4.0,0.2,0.7058823529411765,0.5454545454545454
5.0,32.0,4.0,0.2,0.7058823529411765,0.4444444444444444
3.0,32.0,4.0,0.3,0.6470588235294118,0.25
