depth,dim,heads,dropout,accuracy,f1_score
5.0,64.0,4.0,0.3,0.875,0.918918918918919
3.0,64.0,4.0,0.3,0.875,0.918918918918919
5.0,64.0,2.0,0.1,0.875,0.918918918918919
5.0,64.0,4.0,0.2,0.875,0.918918918918919
5.0,32.0,4.0,0.2,0.875,0.918918918918919
3.0,64.0,2.0,0.1,0.875,0.918918918918919
3.0,32.0,4.0,0.3,0.8333333333333334,0.8947368421052632
5.0,32.0,4.0,0.3,0.8333333333333334,0.8947368421052632
5.0,64.0,2.0,0.2,0.8333333333333334,0.8947368421052632
5.0,32.0,2.0,0.2,0.8333333333333334,0.8947368421052632
3.0,64.0,2.0,0.2,0.8333333333333334,0.8947368421052632
3.0,32.0,2.0,0.2,0.8333333333333334,0.8947368421052632
3.0,64.0,4.0,0.1,0.8333333333333334,0.8947368421052632
3.0,32.0,4.0,0.1,0.8333333333333334,0.8947368421052632
5.0,32.0,2.0,0.3,0.8333333333333334,0.8888888888888888
3.0,64.0,4.0,0.2,0.7916666666666666,0.8717948717948718
5.0,64.0,2.0,0.3,0.7916666666666666,0.8717948717948718
5.0,64.0,4.0,0.1,0.75,0.85
5.0,32.0,4.0,0.1,0.75,0.85
5.0,32.0,2.0,0.1,0.75,0.85
3.0,32.0,2.0,0.1,0.75,0.8333333333333334
3.0,64.0,2.0,0.3,0.75,0.8333333333333334
3.0,32.0,2.0,0.3,0.7083333333333334,0.8292682926829268
3.0,32.0,4.0,0.2,0.7083333333333334,0.8205128205128205
