depth,dim,heads,dropout,accuracy,f1_score
5.0,32.0,4.0,0.1,0.95,0.967741935483871
5.0,32.0,2.0,0.2,0.9,0.9375
3.0,64.0,4.0,0.1,0.9,0.9333333333333333
3.0,32.0,2.0,0.1,0.9,0.9285714285714286
3.0,64.0,2.0,0.2,0.9,0.9285714285714286
3.0,64.0,2.0,0.3,0.9,0.9285714285714286
3.0,32.0,2.0,0.3,0.9,0.9285714285714286
5.0,64.0,4.0,0.3,0.9,0.9285714285714286
3.0,32.0,4.0,0.1,0.9,0.9285714285714286
5.0,32.0,2.0,0.1,0.9,0.9285714285714286
5.0,64.0,4.0,0.2,0.85,0.9090909090909091
3.0,64.0,4.0,0.2,0.85,0.9032258064516129
5.0,32.0,2.0,0.3,0.85,0.8888888888888888
3.0,64.0,4.0,0.3,0.85,0.8888888888888888
5.0,64.0,2.0,0.2,0.8,0.8666666666666667
3.0,32.0,4.0,0.2,0.8,0.8571428571428571
3.0,32.0,2.0,0.2,0.8,0.8461538461538461
5.0,64.0,4.0,0.1,0.8,0.8461538461538461
5.0,32.0,4.0,0.2,0.8,0.8461538461538461
5.0,64.0,2.0,0.3,0.8,0.8461538461538461
5.0,32.0,4.0,0.3,0.8,0.8461538461538461
3.0,64.0,2.0,0.1,0.75,0.8148148148148148
5.0,64.0,2.0,0.1,0.75,0.8
3.0,32.0,4.0,0.3,0.75,0.8
