depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,4.0,0.2,0.8421052631578947,0.7272727272727273
5.0,64.0,2.0,0.2,0.8421052631578947,0.6666666666666666
5.0,32.0,4.0,0.2,0.8421052631578947,0.6666666666666666
3.0,64.0,4.0,0.2,0.7894736842105263,0.6666666666666666
3.0,64.0,2.0,0.1,0.8421052631578947,0.6666666666666666
3.0,32.0,2.0,0.1,0.7894736842105263,0.6666666666666666
5.0,64.0,4.0,0.3,0.8421052631578947,0.6666666666666666
5.0,64.0,4.0,0.1,0.7894736842105263,0.6
5.0,32.0,4.0,0.3,0.7894736842105263,0.6
5.0,32.0,2.0,0.3,0.7894736842105263,0.6
3.0,64.0,2.0,0.3,0.8421052631578947,0.5714285714285714
5.0,32.0,4.0,0.1,0.8421052631578947,0.5714285714285714
3.0,32.0,4.0,0.1,0.7368421052631579,0.5454545454545454
3.0,64.0,4.0,0.1,0.7368421052631579,0.5454545454545454
3.0,32.0,2.0,0.3,0.7368421052631579,0.5454545454545454
5.0,32.0,2.0,0.2,0.7368421052631579,0.5454545454545454
3.0,64.0,2.0,0.2,0.7368421052631579,0.5454545454545454
5.0,64.0,2.0,0.3,0.7368421052631579,0.5454545454545454
3.0,64.0,4.0,0.3,0.7368421052631579,0.5454545454545454
3.0,32.0,2.0,0.2,0.7368421052631579,0.5454545454545454
5.0,64.0,4.0,0.2,0.7368421052631579,0.5454545454545454
5.0,32.0,2.0,0.1,0.6842105263157895,0.5
3.0,32.0,4.0,0.3,0.7894736842105263,0.5
5.0,64.0,2.0,0.1,0.7368421052631579,0.4444444444444444
