depth,dim,heads,dropout,accuracy,f1_score
5.0,32.0,2.0,0.1,0.5555555555555556,0.5
3.0,32.0,4.0,0.2,0.4444444444444444,0.4444444444444444
5.0,32.0,4.0,0.2,0.4444444444444444,0.4444444444444444
5.0,32.0,4.0,0.3,0.4444444444444444,0.4444444444444444
3.0,32.0,4.0,0.1,0.4444444444444444,0.4444444444444444
3.0,64.0,4.0,0.3,0.4444444444444444,0.4444444444444444
3.0,32.0,2.0,0.2,0.4444444444444444,0.4444444444444444
5.0,32.0,2.0,0.2,0.4444444444444444,0.4444444444444444
5.0,64.0,2.0,0.2,0.4444444444444444,0.4444444444444444
3.0,32.0,2.0,0.3,0.4444444444444444,0.4444444444444444
3.0,64.0,4.0,0.2,0.4444444444444444,0.4444444444444444
5.0,32.0,4.0,0.1,0.5555555555555556,0.3333333333333333
5.0,64.0,4.0,0.1,0.5555555555555556,0.3333333333333333
3.0,32.0,4.0,0.3,0.3333333333333333,0.25
3.0,32.0,2.0,0.1,0.3333333333333333,0.25
5.0,64.0,4.0,0.3,0.3333333333333333,0.25
5.0,64.0,4.0,0.2,0.5555555555555556,0.0
3.0,64.0,2.0,0.1,0.5555555555555556,0.0
3.0,64.0,2.0,0.3,0.2222222222222222,0.0
5.0,32.0,2.0,0.3,0.6666666666666666,0.0
5.0,64.0,2.0,0.3,0.6666666666666666,0.0
3.0,64.0,2.0,0.2,0.2222222222222222,0.0
3.0,64.0,4.0,0.1,0.2222222222222222,0.0
5.0,64.0,2.0,0.1,0.5555555555555556,0.0
