depth,dim,heads,dropout,accuracy,f1_score
5.0,32.0,2.0,0.2,0.9090909090909091,0.9411764705882353
3.0,32.0,2.0,0.2,0.9090909090909091,0.9411764705882353
5.0,32.0,2.0,0.3,0.9090909090909091,0.9411764705882353
3.0,64.0,2.0,0.3,0.9090909090909091,0.9411764705882353
5.0,64.0,4.0,0.2,0.9090909090909091,0.9411764705882353
5.0,32.0,4.0,0.2,0.9090909090909091,0.9411764705882353
5.0,64.0,2.0,0.2,0.9090909090909091,0.9411764705882353
3.0,64.0,2.0,0.2,0.9090909090909091,0.9411764705882353
5.0,64.0,2.0,0.3,0.9090909090909091,0.9411764705882353
5.0,64.0,4.0,0.1,0.9090909090909091,0.9411764705882353
3.0,32.0,4.0,0.1,0.9090909090909091,0.9411764705882353
5.0,64.0,2.0,0.1,0.9090909090909091,0.9411764705882353
5.0,32.0,2.0,0.1,0.9090909090909091,0.9411764705882353
3.0,64.0,4.0,0.3,0.8181818181818182,0.875
3.0,64.0,2.0,0.1,0.8181818181818182,0.875
3.0,64.0,4.0,0.2,0.8181818181818182,0.875
5.0,32.0,4.0,0.3,0.8181818181818182,0.875
3.0,32.0,2.0,0.3,0.8181818181818182,0.875
5.0,64.0,4.0,0.3,0.8181818181818182,0.875
5.0,32.0,4.0,0.1,0.8181818181818182,0.8571428571428571
3.0,32.0,2.0,0.1,0.7272727272727273,0.8
3.0,32.0,4.0,0.3,0.7272727272727273,0.8
3.0,64.0,4.0,0.1,0.7272727272727273,0.8
3.0,32.0,4.0,0.2,0.7272727272727273,0.8
