depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,4.0,0.2,1.0,1.0
5.0,32.0,4.0,0.3,1.0,1.0
5.0,64.0,2.0,0.1,1.0,1.0
3.0,64.0,4.0,0.1,1.0,1.0
3.0,64.0,4.0,0.3,1.0,1.0
5.0,64.0,4.0,0.1,1.0,1.0
3.0,32.0,2.0,0.2,1.0,1.0
3.0,64.0,2.0,0.2,1.0,1.0
3.0,64.0,2.0,0.1,1.0,1.0
3.0,32.0,4.0,0.1,0.9811320754716981,0.9090909090909091
5.0,64.0,4.0,0.2,0.9811320754716981,0.8888888888888888
5.0,64.0,2.0,0.3,0.9811320754716981,0.8888888888888888
3.0,32.0,2.0,0.3,0.9811320754716981,0.8888888888888888
5.0,64.0,4.0,0.3,0.9811320754716981,0.8888888888888888
5.0,32.0,2.0,0.2,0.9811320754716981,0.8888888888888888
5.0,64.0,2.0,0.2,0.9622641509433962,0.8333333333333334
5.0,32.0,2.0,0.1,0.9622641509433962,0.8333333333333334
3.0,32.0,2.0,0.1,0.9622641509433962,0.8333333333333334
5.0,32.0,4.0,0.1,0.9622641509433962,0.75
5.0,32.0,4.0,0.2,0.9433962264150944,0.5714285714285714
3.0,64.0,4.0,0.2,0.9433962264150944,0.5714285714285714
3.0,64.0,2.0,0.3,0.9433962264150944,0.5714285714285714
5.0,32.0,2.0,0.3,0.9433962264150944,0.5714285714285714
3.0,32.0,4.0,0.3,0.9433962264150944,0.5714285714285714
