depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.1,0.9090909090909091,0.75
5.0,64.0,2.0,0.2,0.9090909090909091,0.75
5.0,32.0,4.0,0.3,0.9090909090909091,0.75
3.0,64.0,4.0,0.3,0.9090909090909091,0.75
3.0,32.0,4.0,0.3,0.9090909090909091,0.75
5.0,64.0,2.0,0.3,0.9090909090909091,0.75
5.0,32.0,2.0,0.3,0.9090909090909091,0.75
3.0,32.0,2.0,0.3,0.9090909090909091,0.75
5.0,64.0,4.0,0.2,0.9090909090909091,0.75
5.0,32.0,4.0,0.2,0.9090909090909091,0.75
3.0,32.0,4.0,0.2,0.9090909090909091,0.75
3.0,32.0,2.0,0.2,0.9090909090909091,0.75
3.0,64.0,4.0,0.1,0.9090909090909091,0.75
3.0,32.0,4.0,0.1,0.9090909090909091,0.75
5.0,32.0,4.0,0.1,0.8636363636363636,0.6666666666666666
5.0,64.0,2.0,0.1,0.8636363636363636,0.6666666666666666
5.0,32.0,2.0,0.2,0.8636363636363636,0.5714285714285714
3.0,64.0,2.0,0.1,0.8636363636363636,0.5714285714285714
3.0,64.0,4.0,0.2,0.8636363636363636,0.5714285714285714
3.0,64.0,2.0,0.2,0.8636363636363636,0.5714285714285714
5.0,64.0,4.0,0.1,0.8636363636363636,0.5714285714285714
3.0,64.0,2.0,0.3,0.8636363636363636,0.5714285714285714
5.0,32.0,2.0,0.1,0.8636363636363636,0.5714285714285714
5.0,64.0,4.0,0.3,0.8636363636363636,0.5714285714285714
