depth,dim,heads,dropout,accuracy,f1_score
5.0,32.0,2.0,0.1,0.8611111111111112,0.2857142857142857
3.0,32.0,4.0,0.1,0.8611111111111112,0.2857142857142857
3.0,64.0,2.0,0.3,0.8611111111111112,0.2857142857142857
3.0,32.0,4.0,0.2,0.8333333333333334,0.25
3.0,64.0,2.0,0.1,0.8333333333333334,0.25
3.0,64.0,4.0,0.3,0.8333333333333334,0.25
3.0,32.0,4.0,0.3,0.8333333333333334,0.25
5.0,64.0,2.0,0.3,0.8333333333333334,0.25
5.0,32.0,2.0,0.3,0.8333333333333334,0.25
5.0,64.0,4.0,0.2,0.8333333333333334,0.25
5.0,32.0,4.0,0.2,0.8333333333333334,0.25
3.0,64.0,4.0,0.2,0.8333333333333334,0.25
5.0,64.0,4.0,0.3,0.8333333333333334,0.25
5.0,32.0,2.0,0.2,0.8333333333333334,0.25
3.0,32.0,2.0,0.2,0.8333333333333334,0.25
5.0,64.0,4.0,0.1,0.8333333333333334,0.25
3.0,64.0,4.0,0.1,0.8333333333333334,0.25
5.0,64.0,2.0,0.1,0.8333333333333334,0.25
5.0,64.0,2.0,0.2,0.7222222222222222,0.16666666666666666
3.0,32.0,2.0,0.3,0.7222222222222222,0.16666666666666666
3.0,32.0,2.0,0.1,0.7222222222222222,0.16666666666666666
3.0,64.0,2.0,0.2,0.8611111111111112,0.0
5.0,32.0,4.0,0.1,0.8611111111111112,0.0
5.0,32.0,4.0,0.3,0.8611111111111112,0.0
