depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,4.0,0.1,0.9523809523809523,0.9615384615384616
3.0,64.0,2.0,0.3,0.9285714285714286,0.9454545454545454
3.0,32.0,2.0,0.3,0.9285714285714286,0.9411764705882353
3.0,32.0,4.0,0.3,0.9285714285714286,0.9411764705882353
5.0,32.0,2.0,0.2,0.9047619047619048,0.9259259259259259
3.0,64.0,2.0,0.2,0.9047619047619048,0.9259259259259259
5.0,32.0,2.0,0.3,0.9047619047619048,0.9259259259259259
3.0,64.0,4.0,0.2,0.9047619047619048,0.9259259259259259
3.0,64.0,2.0,0.1,0.9047619047619048,0.9259259259259259
5.0,64.0,2.0,0.3,0.9047619047619048,0.9259259259259259
3.0,64.0,4.0,0.3,0.9047619047619048,0.9259259259259259
5.0,64.0,4.0,0.1,0.9047619047619048,0.9259259259259259
3.0,64.0,4.0,0.1,0.9047619047619048,0.9259259259259259
5.0,64.0,2.0,0.2,0.9047619047619048,0.9230769230769231
5.0,32.0,4.0,0.1,0.9047619047619048,0.9230769230769231
5.0,32.0,4.0,0.2,0.9047619047619048,0.9230769230769231
5.0,64.0,4.0,0.2,0.9047619047619048,0.9230769230769231
5.0,32.0,4.0,0.3,0.9047619047619048,0.9230769230769231
5.0,32.0,2.0,0.1,0.9047619047619048,0.9230769230769231
3.0,32.0,2.0,0.1,0.9047619047619048,0.9230769230769231
3.0,32.0,4.0,0.2,0.8809523809523809,0.9122807017543859
3.0,32.0,2.0,0.2,0.8809523809523809,0.9056603773584906
5.0,64.0,2.0,0.1,0.8809523809523809,0.9056603773584906
5.0,64.0,4.0,0.3,0.8809523809523809,0.9056603773584906
