depth,dim,heads,dropout,accuracy,f1_score
5.0,64.0,4.0,0.1,0.7413793103448276,0.4444444444444444
3.0,32.0,2.0,0.1,0.7068965517241379,0.41379310344827586
3.0,64.0,2.0,0.1,0.6724137931034483,0.3870967741935484
3.0,64.0,2.0,0.3,0.7241379310344828,0.38461538461538464
5.0,32.0,2.0,0.2,0.7241379310344828,0.38461538461538464
3.0,32.0,4.0,0.1,0.7241379310344828,0.38461538461538464
5.0,64.0,2.0,0.1,0.6551724137931034,0.375
5.0,32.0,4.0,0.2,0.7068965517241379,0.37037037037037035
5.0,64.0,4.0,0.2,0.7068965517241379,0.37037037037037035
5.0,64.0,2.0,0.3,0.7068965517241379,0.37037037037037035
3.0,64.0,4.0,0.1,0.6551724137931034,0.3333333333333333
3.0,32.0,4.0,0.3,0.7241379310344828,0.3333333333333333
5.0,32.0,4.0,0.1,0.7068965517241379,0.32
3.0,64.0,4.0,0.2,0.7068965517241379,0.32
3.0,64.0,4.0,0.3,0.6896551724137931,0.3076923076923077
5.0,64.0,2.0,0.2,0.6896551724137931,0.3076923076923077
3.0,32.0,2.0,0.3,0.6896551724137931,0.3076923076923077
5.0,32.0,4.0,0.3,0.7586206896551724,0.3
3.0,32.0,2.0,0.2,0.6724137931034483,0.2962962962962963
5.0,32.0,2.0,0.3,0.6724137931034483,0.2962962962962963
3.0,32.0,4.0,0.2,0.6551724137931034,0.2857142857142857
5.0,64.0,4.0,0.3,0.7413793103448276,0.2857142857142857
3.0,64.0,2.0,0.2,0.603448275862069,0.25806451612903225
5.0,32.0,2.0,0.1,0.6896551724137931,0.25
