depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,4.0,0.2,0.6521739130434783,0.5862068965517241
3.0,64.0,2.0,0.3,0.5362318840579711,0.5555555555555556
5.0,64.0,4.0,0.1,0.5072463768115942,0.5526315789473685
3.0,32.0,2.0,0.3,0.5217391304347826,0.547945205479452
5.0,32.0,4.0,0.1,0.5652173913043478,0.53125
5.0,32.0,2.0,0.2,0.5507246376811594,0.4918032786885246
3.0,64.0,2.0,0.1,0.6086956521739131,0.49056603773584906
5.0,64.0,4.0,0.2,0.5797101449275363,0.4727272727272727
5.0,64.0,2.0,0.3,0.6086956521739131,0.47058823529411764
3.0,64.0,2.0,0.2,0.5072463768115942,0.46875
5.0,64.0,2.0,0.2,0.5652173913043478,0.4642857142857143
5.0,32.0,4.0,0.2,0.5942028985507246,0.46153846153846156
3.0,32.0,2.0,0.2,0.6086956521739131,0.4489795918367347
5.0,64.0,2.0,0.1,0.6376811594202898,0.4444444444444444
3.0,32.0,4.0,0.1,0.5942028985507246,0.44
5.0,64.0,4.0,0.3,0.6521739130434783,0.42857142857142855
3.0,32.0,4.0,0.3,0.6086956521739131,0.4
3.0,32.0,2.0,0.1,0.5652173913043478,0.4
5.0,32.0,2.0,0.1,0.5942028985507246,0.391304347826087
3.0,64.0,4.0,0.2,0.5797101449275363,0.3829787234042553
5.0,32.0,4.0,0.3,0.6086956521739131,0.37209302325581395
3.0,64.0,4.0,0.1,0.6086956521739131,0.34146341463414637
3.0,64.0,4.0,0.3,0.6086956521739131,0.34146341463414637
5.0,32.0,2.0,0.3,0.6231884057971014,0.1875
