depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.1,1.0,1.0
5.0,32.0,2.0,0.1,1.0,1.0
5.0,64.0,2.0,0.1,1.0,1.0
3.0,32.0,4.0,0.1,1.0,1.0
3.0,32.0,4.0,0.3,1.0,1.0
3.0,64.0,2.0,0.3,1.0,1.0
3.0,32.0,2.0,0.3,1.0,1.0
3.0,64.0,2.0,0.1,0.9895833333333334,0.987012987012987
5.0,32.0,4.0,0.3,0.9895833333333334,0.987012987012987
3.0,64.0,4.0,0.3,0.9895833333333334,0.987012987012987
5.0,32.0,2.0,0.3,0.9895833333333334,0.987012987012987
5.0,32.0,4.0,0.2,0.9895833333333334,0.987012987012987
5.0,64.0,4.0,0.3,0.9895833333333334,0.987012987012987
5.0,32.0,2.0,0.2,0.9895833333333334,0.987012987012987
3.0,32.0,2.0,0.2,0.9895833333333334,0.987012987012987
5.0,64.0,4.0,0.1,0.9895833333333334,0.987012987012987
5.0,32.0,4.0,0.1,0.9895833333333334,0.987012987012987
3.0,64.0,4.0,0.1,0.9895833333333334,0.987012987012987
3.0,64.0,4.0,0.2,0.9791666666666666,0.972972972972973
5.0,64.0,2.0,0.2,0.9791666666666666,0.972972972972973
3.0,32.0,4.0,0.2,0.9791666666666666,0.972972972972973
3.0,64.0,2.0,0.2,0.96875,0.9620253164556962
5.0,64.0,2.0,0.3,0.96875,0.9620253164556962
5.0,64.0,4.0,0.2,0.9583333333333334,0.95
