depth,dim,heads,dropout,accuracy,f1_score
5.0,32.0,4.0,0.2,0.8484848484848485,0.8275862068965517
3.0,32.0,2.0,0.1,0.8181818181818182,0.7857142857142857
5.0,64.0,2.0,0.1,0.8181818181818182,0.7857142857142857
3.0,32.0,4.0,0.1,0.8181818181818182,0.7857142857142857
3.0,64.0,2.0,0.3,0.7878787878787878,0.7407407407407407
5.0,64.0,2.0,0.3,0.7575757575757576,0.7142857142857143
3.0,64.0,2.0,0.2,0.7575757575757576,0.6666666666666666
5.0,32.0,2.0,0.3,0.7575757575757576,0.6666666666666666
3.0,64.0,4.0,0.2,0.6666666666666666,0.6451612903225806
5.0,32.0,4.0,0.1,0.7272727272727273,0.64
3.0,32.0,4.0,0.3,0.7272727272727273,0.64
3.0,64.0,2.0,0.1,0.7272727272727273,0.64
5.0,64.0,4.0,0.2,0.6363636363636364,0.625
5.0,64.0,4.0,0.1,0.7272727272727273,0.6086956521739131
3.0,32.0,2.0,0.2,0.6666666666666666,0.5925925925925926
3.0,64.0,4.0,0.3,0.696969696969697,0.5833333333333334
3.0,32.0,2.0,0.3,0.696969696969697,0.5833333333333334
5.0,32.0,2.0,0.1,0.696969696969697,0.5833333333333334
5.0,32.0,2.0,0.2,0.696969696969697,0.5833333333333334
5.0,32.0,4.0,0.3,0.6363636363636364,0.5714285714285714
3.0,32.0,4.0,0.2,0.6363636363636364,0.5384615384615384
3.0,64.0,4.0,0.1,0.6666666666666666,0.5217391304347826
5.0,64.0,2.0,0.2,0.6363636363636364,0.45454545454545453
5.0,64.0,4.0,0.3,0.6363636363636364,0.4
