depth,dim,heads,dropout,accuracy,f1_score
3.0,64.0,4.0,0.2,0.8548387096774194,0.6666666666666666
5.0,32.0,4.0,0.3,0.8225806451612904,0.56
3.0,64.0,2.0,0.3,0.8225806451612904,0.56
5.0,64.0,4.0,0.1,0.8225806451612904,0.56
5.0,64.0,4.0,0.3,0.7903225806451613,0.38095238095238093
5.0,64.0,2.0,0.2,0.7903225806451613,0.38095238095238093
3.0,64.0,4.0,0.3,0.7741935483870968,0.36363636363636365
5.0,32.0,2.0,0.3,0.7741935483870968,0.36363636363636365
5.0,64.0,4.0,0.2,0.7741935483870968,0.36363636363636365
3.0,64.0,2.0,0.1,0.7741935483870968,0.3
5.0,64.0,2.0,0.3,0.7741935483870968,0.3
5.0,32.0,4.0,0.2,0.7741935483870968,0.3
3.0,32.0,2.0,0.1,0.7741935483870968,0.3
3.0,64.0,4.0,0.1,0.7741935483870968,0.3
3.0,32.0,4.0,0.1,0.7741935483870968,0.3
5.0,64.0,2.0,0.1,0.7741935483870968,0.3
3.0,32.0,4.0,0.2,0.7741935483870968,0.3
3.0,32.0,2.0,0.2,0.7580645161290323,0.2857142857142857
5.0,32.0,4.0,0.1,0.7580645161290323,0.2857142857142857
5.0,32.0,2.0,0.2,0.7580645161290323,0.21052631578947367
3.0,32.0,2.0,0.3,0.7580645161290323,0.21052631578947367
3.0,32.0,4.0,0.3,0.7580645161290323,0.21052631578947367
5.0,32.0,2.0,0.1,0.7580645161290323,0.21052631578947367
3.0,64.0,2.0,0.2,0.7258064516129032,0.0
