depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.2,0.8873239436619719,0.9111111111111111
3.0,64.0,2.0,0.3,0.8732394366197183,0.9052631578947369
3.0,64.0,4.0,0.2,0.8732394366197183,0.9052631578947369
5.0,64.0,2.0,0.1,0.8732394366197183,0.9010989010989011
5.0,32.0,4.0,0.1,0.8732394366197183,0.898876404494382
3.0,32.0,2.0,0.3,0.8732394366197183,0.898876404494382
3.0,32.0,2.0,0.1,0.8591549295774648,0.8958333333333334
5.0,32.0,4.0,0.3,0.8591549295774648,0.8958333333333334
3.0,64.0,4.0,0.3,0.8591549295774648,0.8958333333333334
3.0,32.0,4.0,0.3,0.8591549295774648,0.8958333333333334
3.0,64.0,2.0,0.1,0.8591549295774648,0.8958333333333334
5.0,32.0,4.0,0.2,0.8591549295774648,0.8936170212765957
3.0,64.0,2.0,0.2,0.8591549295774648,0.8936170212765957
5.0,32.0,2.0,0.3,0.8450704225352113,0.8865979381443299
5.0,64.0,4.0,0.3,0.8450704225352113,0.8865979381443299
5.0,64.0,2.0,0.2,0.8450704225352113,0.8865979381443299
5.0,32.0,2.0,0.2,0.8450704225352113,0.8865979381443299
5.0,32.0,2.0,0.1,0.8450704225352113,0.8865979381443299
3.0,32.0,4.0,0.1,0.8450704225352113,0.8842105263157894
3.0,32.0,4.0,0.2,0.8450704225352113,0.8842105263157894
5.0,64.0,2.0,0.3,0.8309859154929577,0.8775510204081632
3.0,64.0,4.0,0.1,0.8309859154929577,0.8775510204081632
5.0,64.0,4.0,0.2,0.8309859154929577,0.875
5.0,64.0,4.0,0.1,0.8309859154929577,0.875
