depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,4.0,0.2,1.0,1.0
3.0,64.0,2.0,0.2,1.0,1.0
3.0,32.0,4.0,0.3,1.0,1.0
5.0,64.0,2.0,0.3,1.0,1.0
5.0,32.0,2.0,0.3,1.0,1.0
3.0,32.0,2.0,0.3,1.0,1.0
5.0,32.0,4.0,0.2,1.0,1.0
5.0,32.0,2.0,0.2,1.0,1.0
5.0,64.0,4.0,0.3,1.0,1.0
3.0,32.0,2.0,0.2,1.0,1.0
5.0,64.0,4.0,0.1,1.0,1.0
5.0,32.0,4.0,0.1,1.0,1.0
3.0,64.0,4.0,0.1,1.0,1.0
3.0,64.0,4.0,0.2,0.99,0.990990990990991
5.0,64.0,2.0,0.1,0.99,0.9908256880733946
3.0,64.0,4.0,0.3,0.99,0.9908256880733946
3.0,32.0,2.0,0.1,0.99,0.9908256880733946
5.0,64.0,2.0,0.2,0.98,0.9814814814814815
5.0,64.0,4.0,0.2,0.97,0.9719626168224299
3.0,64.0,2.0,0.3,0.97,0.9719626168224299
3.0,64.0,2.0,0.1,0.96,0.9649122807017544
3.0,32.0,4.0,0.1,0.96,0.9629629629629629
5.0,32.0,2.0,0.1,0.95,0.9523809523809523
5.0,32.0,4.0,0.3,0.95,0.9523809523809523
