depth,dim,heads,dropout,accuracy,f1_score
3.0,64.0,2.0,0.2,0.3888888888888889,0.26666666666666666
5.0,32.0,2.0,0.3,0.4444444444444444,0.16666666666666666
3.0,32.0,4.0,0.1,0.3888888888888889,0.15384615384615385
3.0,64.0,2.0,0.3,0.3888888888888889,0.15384615384615385
5.0,64.0,2.0,0.2,0.3333333333333333,0.14285714285714285
5.0,32.0,2.0,0.2,0.2777777777777778,0.13333333333333333
3.0,32.0,2.0,0.1,0.3888888888888889,0.0
5.0,32.0,4.0,0.2,0.7777777777777778,0.0
5.0,32.0,4.0,0.3,0.7777777777777778,0.0
3.0,64.0,4.0,0.3,0.4444444444444444,0.0
3.0,32.0,4.0,0.3,0.7777777777777778,0.0
5.0,64.0,2.0,0.3,0.7777777777777778,0.0
3.0,32.0,2.0,0.3,0.7222222222222222,0.0
5.0,64.0,4.0,0.2,0.6111111111111112,0.0
3.0,32.0,4.0,0.2,0.4444444444444444,0.0
3.0,64.0,4.0,0.2,0.3888888888888889,0.0
3.0,64.0,2.0,0.1,0.4444444444444444,0.0
3.0,32.0,2.0,0.2,0.7777777777777778,0.0
5.0,64.0,4.0,0.1,0.5,0.0
5.0,32.0,4.0,0.1,0.7777777777777778,0.0
3.0,64.0,4.0,0.1,0.4444444444444444,0.0
5.0,64.0,2.0,0.1,0.7777777777777778,0.0
5.0,32.0,2.0,0.1,0.7777777777777778,0.0
5.0,64.0,4.0,0.3,0.3888888888888889,0.0
