depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.1,1.0,1.0
3.0,32.0,2.0,0.2,1.0,1.0
3.0,32.0,2.0,0.3,1.0,1.0
5.0,32.0,4.0,0.2,1.0,1.0
3.0,64.0,4.0,0.2,1.0,1.0
3.0,64.0,2.0,0.1,1.0,1.0
5.0,64.0,2.0,0.2,1.0,1.0
5.0,32.0,2.0,0.2,1.0,1.0
3.0,64.0,2.0,0.2,1.0,1.0
5.0,64.0,4.0,0.1,1.0,1.0
5.0,32.0,4.0,0.1,1.0,1.0
3.0,64.0,4.0,0.1,1.0,1.0
5.0,32.0,4.0,0.3,1.0,1.0
5.0,32.0,2.0,0.1,1.0,1.0
5.0,64.0,2.0,0.3,1.0,1.0
5.0,32.0,2.0,0.3,0.975,0.9743589743589743
5.0,64.0,4.0,0.2,0.975,0.9743589743589743
3.0,32.0,4.0,0.3,0.975,0.972972972972973
5.0,64.0,4.0,0.3,0.975,0.972972972972973
3.0,64.0,2.0,0.3,0.975,0.972972972972973
3.0,32.0,4.0,0.2,0.925,0.918918918918919
3.0,64.0,4.0,0.3,0.875,0.8837209302325582
5.0,64.0,2.0,0.1,0.825,0.8444444444444444
3.0,32.0,4.0,0.1,0.85,0.8125
