depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,4.0,0.1,0.84,0.8518518518518519
5.0,64.0,2.0,0.2,0.84,0.84
5.0,32.0,4.0,0.3,0.84,0.8333333333333334
3.0,32.0,2.0,0.1,0.82,0.8301886792452831
5.0,64.0,2.0,0.1,0.82,0.8301886792452831
3.0,64.0,2.0,0.1,0.82,0.8301886792452831
5.0,32.0,2.0,0.1,0.8,0.8214285714285714
3.0,32.0,2.0,0.3,0.8,0.8214285714285714
5.0,64.0,2.0,0.3,0.8,0.8148148148148148
5.0,64.0,4.0,0.2,0.8,0.8148148148148148
3.0,64.0,4.0,0.2,0.8,0.8076923076923077
3.0,32.0,4.0,0.3,0.8,0.8
3.0,64.0,2.0,0.3,0.8,0.8
3.0,32.0,4.0,0.2,0.8,0.8
5.0,32.0,2.0,0.2,0.8,0.8
3.0,64.0,2.0,0.2,0.8,0.8
3.0,32.0,2.0,0.2,0.8,0.8
3.0,64.0,4.0,0.1,0.8,0.8
5.0,64.0,4.0,0.3,0.8,0.8
5.0,64.0,4.0,0.1,0.8,0.7916666666666666
5.0,32.0,4.0,0.2,0.78,0.7843137254901961
5.0,32.0,4.0,0.1,0.78,0.7843137254901961
3.0,64.0,4.0,0.3,0.78,0.7843137254901961
5.0,32.0,2.0,0.3,0.78,0.7755102040816326
