depth,dim,heads,dropout,accuracy,f1_score
3.0,64.0,2.0,0.3,0.7956989247311828,0.6984126984126984
3.0,32.0,4.0,0.2,0.7956989247311828,0.6666666666666666
5.0,32.0,4.0,0.3,0.7956989247311828,0.6415094339622641
5.0,64.0,4.0,0.1,0.7741935483870968,0.6181818181818182
5.0,64.0,4.0,0.2,0.7311827956989247,0.6153846153846154
5.0,32.0,2.0,0.1,0.7634408602150538,0.6071428571428571
3.0,64.0,2.0,0.2,0.7634408602150538,0.5925925925925926
3.0,64.0,2.0,0.1,0.7634408602150538,0.5925925925925926
3.0,32.0,2.0,0.2,0.7311827956989247,0.5901639344262295
5.0,64.0,2.0,0.3,0.6989247311827957,0.5882352941176471
3.0,64.0,4.0,0.3,0.7096774193548387,0.5846153846153846
3.0,32.0,2.0,0.3,0.6881720430107527,0.5671641791044776
3.0,32.0,4.0,0.3,0.7526881720430108,0.5660377358490566
3.0,32.0,2.0,0.1,0.7204301075268817,0.5517241379310345
5.0,32.0,4.0,0.1,0.7204301075268817,0.5517241379310345
5.0,32.0,2.0,0.3,0.6236559139784946,0.5454545454545454
3.0,64.0,4.0,0.1,0.7204301075268817,0.5357142857142857
5.0,64.0,4.0,0.3,0.7204301075268817,0.5357142857142857
5.0,32.0,2.0,0.2,0.6989247311827957,0.5333333333333333
3.0,32.0,4.0,0.1,0.7526881720430108,0.5306122448979592
5.0,64.0,2.0,0.2,0.7526881720430108,0.5106382978723404
3.0,64.0,4.0,0.2,0.7419354838709677,0.45454545454545453
5.0,32.0,4.0,0.2,0.7096774193548387,0.4
5.0,64.0,2.0,0.1,0.6881720430107527,0.0
