depth,dim,heads,dropout,accuracy,f1_score
3.0,64.0,4.0,0.2,0.8571428571428571,0.8695652173913043
3.0,64.0,4.0,0.3,0.8333333333333334,0.8571428571428571
5.0,32.0,4.0,0.3,0.8095238095238095,0.8333333333333334
3.0,32.0,2.0,0.2,0.8095238095238095,0.8333333333333334
5.0,32.0,2.0,0.3,0.8095238095238095,0.8181818181818182
3.0,64.0,2.0,0.2,0.8095238095238095,0.8181818181818182
3.0,64.0,2.0,0.3,0.8095238095238095,0.8181818181818182
3.0,32.0,4.0,0.1,0.8095238095238095,0.8095238095238095
3.0,32.0,4.0,0.2,0.7857142857142857,0.8
3.0,64.0,2.0,0.1,0.7619047619047619,0.7916666666666666
3.0,64.0,4.0,0.1,0.7857142857142857,0.7906976744186046
5.0,32.0,4.0,0.2,0.7857142857142857,0.7906976744186046
5.0,64.0,2.0,0.2,0.7380952380952381,0.7843137254901961
5.0,64.0,2.0,0.3,0.7619047619047619,0.782608695652174
5.0,64.0,4.0,0.2,0.7380952380952381,0.7755102040816326
5.0,64.0,4.0,0.3,0.7380952380952381,0.7755102040816326
3.0,32.0,2.0,0.1,0.7619047619047619,0.7727272727272727
5.0,32.0,2.0,0.1,0.7380952380952381,0.7659574468085106
5.0,32.0,4.0,0.1,0.7619047619047619,0.7619047619047619
3.0,32.0,4.0,0.3,0.7619047619047619,0.7619047619047619
5.0,64.0,4.0,0.1,0.7380952380952381,0.7555555555555555
3.0,32.0,2.0,0.3,0.7380952380952381,0.7317073170731707
5.0,64.0,2.0,0.1,0.7380952380952381,0.7317073170731707
5.0,32.0,2.0,0.2,0.7142857142857143,0.7
