depth,dim,heads,dropout,accuracy,f1_score
5.0,64.0,4.0,0.2,0.7142857142857143,0.8305084745762712
5.0,64.0,2.0,0.3,0.7142857142857143,0.8275862068965517
5.0,64.0,4.0,0.3,0.7,0.8235294117647058
5.0,64.0,4.0,0.1,0.7,0.8235294117647058
3.0,32.0,4.0,0.3,0.7,0.8235294117647058
3.0,32.0,2.0,0.3,0.7285714285714285,0.822429906542056
5.0,32.0,2.0,0.2,0.7285714285714285,0.822429906542056
3.0,32.0,4.0,0.2,0.7285714285714285,0.822429906542056
3.0,32.0,2.0,0.2,0.6857142857142857,0.7843137254901961
3.0,32.0,2.0,0.1,0.6857142857142857,0.7843137254901961
3.0,64.0,2.0,0.2,0.6714285714285714,0.7676767676767676
5.0,32.0,4.0,0.2,0.6714285714285714,0.7676767676767676
3.0,64.0,4.0,0.1,0.6714285714285714,0.7676767676767676
5.0,32.0,2.0,0.3,0.6714285714285714,0.7676767676767676
5.0,32.0,4.0,0.3,0.6714285714285714,0.7676767676767676
5.0,64.0,2.0,0.2,0.7,0.7640449438202247
3.0,64.0,4.0,0.2,0.7,0.7640449438202247
3.0,64.0,4.0,0.3,0.7,0.7640449438202247
3.0,64.0,2.0,0.1,0.6571428571428571,0.76
3.0,32.0,4.0,0.1,0.6571428571428571,0.76
3.0,64.0,2.0,0.3,0.6571428571428571,0.76
5.0,64.0,2.0,0.1,0.6571428571428571,0.76
5.0,32.0,2.0,0.1,0.6571428571428571,0.76
5.0,32.0,4.0,0.1,0.6714285714285714,0.735632183908046
