n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,5,2,0.7,0.4
10,5,2,2,0.7,0.4
20,5,2,2,0.6,0.3333333333333333
10,5,5,4,0.6,0.3333333333333333
10,5,2,4,0.6,0.3333333333333333
10,5,10,2,0.6,0.3333333333333333
10,5,5,1,0.6,0.3333333333333333
10,3,2,4,0.5,0.2857142857142857
10,5,2,1,0.5,0.2857142857142857
30,5,2,2,0.5,0.2857142857142857
10,3,5,4,0.5,0.2857142857142857
20,5,5,2,0.5,0.2857142857142857
30,5,5,1,0.5,0.2857142857142857
20,5,5,1,0.5,0.2857142857142857
20,5,10,4,0.4,0.25
30,3,5,2,0.4,0.25
30,3,2,4,0.4,0.25
20,5,2,4,0.4,0.25
20,3,2,4,0.4,0.25
20,3,2,1,0.4,0.25
30,5,10,2,0.4,0.25
30,3,10,2,0.4,0.25
20,5,10,2,0.4,0.25
20,3,10,2,0.4,0.25
30,3,2,1,0.4,0.25
10,3,10,2,0.4,0.25
30,5,5,2,0.4,0.25
30,5,2,4,0.4,0.25
30,5,5,4,0.4,0.25
20,3,5,2,0.4,0.25
10,3,5,2,0.4,0.25
20,3,5,1,0.4,0.25
30,3,2,2,0.4,0.25
20,3,2,2,0.4,0.25
10,5,10,4,0.4,0.25
10,3,2,2,0.4,0.25
20,3,5,4,0.4,0.25
20,5,5,4,0.4,0.25
30,3,5,4,0.4,0.25
20,3,10,4,0.3,0.2222222222222222
30,3,10,4,0.3,0.2222222222222222
10,3,10,4,0.3,0.2222222222222222
10,3,2,1,0.3,0.2222222222222222
30,5,10,1,0.3,0.2222222222222222
30,3,10,1,0.3,0.2222222222222222
20,5,10,1,0.3,0.2222222222222222
20,3,10,1,0.3,0.2222222222222222
10,5,10,1,0.3,0.2222222222222222
10,3,10,1,0.3,0.2222222222222222
30,3,5,1,0.3,0.2222222222222222
10,3,5,1,0.3,0.2222222222222222
30,5,2,1,0.3,0.2222222222222222
20,5,2,1,0.3,0.2222222222222222
30,5,10,4,0.3,0.2222222222222222
