n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,10,2,0.7647058823529411,0.75
20,5,2,2,0.7647058823529411,0.75
10,5,2,2,0.7058823529411765,0.7058823529411765
20,5,2,1,0.7058823529411765,0.7058823529411765
10,3,10,2,0.7058823529411765,0.7058823529411765
30,5,2,1,0.7058823529411765,0.7058823529411765
10,3,2,2,0.7058823529411765,0.7058823529411765
10,3,5,2,0.7058823529411765,0.7058823529411765
10,5,5,2,0.7058823529411765,0.7058823529411765
10,3,10,1,0.6470588235294118,0.6666666666666666
10,3,5,1,0.6470588235294118,0.6666666666666666
10,5,5,1,0.6470588235294118,0.6666666666666666
10,3,2,1,0.5882352941176471,0.631578947368421
10,5,2,1,0.5882352941176471,0.631578947368421
20,3,2,4,0.6470588235294118,0.5714285714285714
30,5,2,4,0.6470588235294118,0.5714285714285714
20,5,2,4,0.6470588235294118,0.5714285714285714
30,3,2,4,0.6470588235294118,0.5714285714285714
10,5,2,4,0.6470588235294118,0.5714285714285714
10,3,2,4,0.6470588235294118,0.5714285714285714
10,5,5,4,0.6470588235294118,0.5714285714285714
10,3,5,4,0.6470588235294118,0.5714285714285714
20,5,10,2,0.6470588235294118,0.5714285714285714
20,3,5,4,0.6470588235294118,0.5714285714285714
20,5,5,4,0.6470588235294118,0.5714285714285714
30,3,5,4,0.6470588235294118,0.5714285714285714
30,5,5,4,0.6470588235294118,0.5714285714285714
10,3,10,4,0.6470588235294118,0.5714285714285714
10,5,10,4,0.6470588235294118,0.5714285714285714
20,3,10,4,0.6470588235294118,0.5714285714285714
20,5,10,4,0.6470588235294118,0.5714285714285714
30,3,10,4,0.6470588235294118,0.5714285714285714
30,5,10,2,0.6470588235294118,0.5714285714285714
20,5,5,2,0.6470588235294118,0.5714285714285714
20,5,10,1,0.6470588235294118,0.5714285714285714
20,3,2,2,0.6470588235294118,0.5714285714285714
10,5,10,1,0.6470588235294118,0.5714285714285714
20,3,10,1,0.6470588235294118,0.5714285714285714
20,3,10,2,0.6470588235294118,0.5714285714285714
30,5,10,1,0.6470588235294118,0.5714285714285714
30,5,10,4,0.6470588235294118,0.5714285714285714
20,3,5,2,0.6470588235294118,0.5714285714285714
30,3,5,2,0.6470588235294118,0.5714285714285714
30,5,5,2,0.6470588235294118,0.5714285714285714
30,3,2,2,0.5882352941176471,0.5333333333333333
30,5,2,2,0.5882352941176471,0.5333333333333333
30,3,10,1,0.5882352941176471,0.5333333333333333
30,5,5,1,0.5882352941176471,0.5333333333333333
30,3,5,1,0.5882352941176471,0.5333333333333333
20,5,5,1,0.5882352941176471,0.5333333333333333
20,3,5,1,0.5882352941176471,0.5333333333333333
30,3,2,1,0.5882352941176471,0.5333333333333333
20,3,2,1,0.5882352941176471,0.5333333333333333
30,3,10,2,0.5882352941176471,0.5333333333333333
