n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,5,5,2,0.75,0.8
10,5,5,2,0.75,0.8
30,5,2,2,0.75,0.8
20,5,2,2,0.75,0.8
30,5,5,1,0.75,0.8
20,5,5,1,0.7083333333333334,0.7741935483870968
10,5,10,2,0.7083333333333334,0.7741935483870968
20,5,5,2,0.7083333333333334,0.7741935483870968
10,5,10,1,0.7083333333333334,0.7741935483870968
20,5,2,1,0.7083333333333334,0.7741935483870968
10,5,5,1,0.7083333333333334,0.7741935483870968
10,5,2,2,0.6666666666666666,0.75
10,5,2,1,0.6666666666666666,0.75
20,5,10,1,0.6666666666666666,0.75
20,5,10,2,0.6666666666666666,0.75
20,5,10,4,0.625,0.7272727272727273
10,5,10,4,0.625,0.7272727272727273
20,3,10,2,0.625,0.7272727272727273
30,5,5,4,0.625,0.7272727272727273
20,3,5,4,0.625,0.7272727272727273
30,5,10,2,0.625,0.7272727272727273
20,3,2,4,0.625,0.7272727272727273
20,5,2,4,0.625,0.7272727272727273
30,5,2,4,0.625,0.7272727272727273
20,5,5,4,0.625,0.7272727272727273
10,5,5,4,0.625,0.7272727272727273
10,5,2,4,0.625,0.7272727272727273
30,5,10,4,0.625,0.7272727272727273
30,5,10,1,0.625,0.7272727272727273
30,5,2,1,0.625,0.7272727272727273
20,3,10,1,0.625,0.7272727272727273
10,3,10,2,0.5833333333333334,0.7058823529411765
30,3,10,4,0.5833333333333334,0.7058823529411765
20,3,10,4,0.5833333333333334,0.7058823529411765
30,3,10,2,0.5833333333333334,0.7058823529411765
10,3,10,4,0.5833333333333334,0.7058823529411765
30,3,5,2,0.5416666666666666,0.6857142857142857
30,3,5,1,0.5416666666666666,0.6857142857142857
20,3,2,1,0.5416666666666666,0.6857142857142857
30,3,2,1,0.5416666666666666,0.6857142857142857
30,3,5,4,0.5416666666666666,0.6857142857142857
10,3,5,1,0.5416666666666666,0.6857142857142857
20,3,5,1,0.5416666666666666,0.6857142857142857
10,3,10,1,0.5416666666666666,0.6857142857142857
10,3,5,4,0.5416666666666666,0.6857142857142857
20,3,5,2,0.5416666666666666,0.6857142857142857
30,3,2,4,0.5416666666666666,0.6857142857142857
30,3,10,1,0.5416666666666666,0.6857142857142857
10,3,2,4,0.5416666666666666,0.6857142857142857
10,3,2,2,0.5416666666666666,0.6857142857142857
20,3,2,2,0.5416666666666666,0.6857142857142857
30,3,2,2,0.5416666666666666,0.6857142857142857
10,3,5,2,0.5416666666666666,0.6857142857142857
10,3,2,1,0.5416666666666666,0.6857142857142857
