n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,2,1,0.7894736842105263,0.5
20,5,2,1,0.7894736842105263,0.5
30,3,2,4,0.7368421052631579,0.4444444444444444
30,5,5,2,0.7368421052631579,0.4444444444444444
10,3,10,2,0.7368421052631579,0.4444444444444444
10,5,10,2,0.7368421052631579,0.4444444444444444
20,3,10,2,0.7368421052631579,0.4444444444444444
20,5,10,2,0.7368421052631579,0.4444444444444444
30,3,10,2,0.7368421052631579,0.4444444444444444
30,5,10,2,0.7368421052631579,0.4444444444444444
10,3,2,4,0.7368421052631579,0.4444444444444444
10,5,2,4,0.7368421052631579,0.4444444444444444
20,3,2,4,0.7368421052631579,0.4444444444444444
20,5,2,4,0.7368421052631579,0.4444444444444444
10,3,2,1,0.7368421052631579,0.4444444444444444
30,3,5,2,0.7368421052631579,0.4444444444444444
10,3,5,4,0.7368421052631579,0.4444444444444444
10,5,5,4,0.7368421052631579,0.4444444444444444
20,3,5,4,0.7368421052631579,0.4444444444444444
20,5,5,4,0.7368421052631579,0.4444444444444444
30,3,5,4,0.7368421052631579,0.4444444444444444
30,5,5,4,0.7368421052631579,0.4444444444444444
10,3,10,4,0.7368421052631579,0.4444444444444444
10,5,10,4,0.7368421052631579,0.4444444444444444
20,3,10,4,0.7368421052631579,0.4444444444444444
20,5,10,4,0.7368421052631579,0.4444444444444444
30,3,10,4,0.7368421052631579,0.4444444444444444
30,5,2,4,0.7368421052631579,0.4444444444444444
20,5,5,2,0.7368421052631579,0.4444444444444444
20,3,5,2,0.7368421052631579,0.4444444444444444
10,5,5,2,0.7368421052631579,0.4444444444444444
20,3,2,1,0.7368421052631579,0.4444444444444444
30,3,2,1,0.7368421052631579,0.4444444444444444
30,5,2,1,0.7368421052631579,0.4444444444444444
10,3,5,1,0.7368421052631579,0.4444444444444444
10,5,5,1,0.7368421052631579,0.4444444444444444
20,3,5,1,0.7368421052631579,0.4444444444444444
20,5,5,1,0.7368421052631579,0.4444444444444444
30,3,5,1,0.7368421052631579,0.4444444444444444
30,5,5,1,0.7368421052631579,0.4444444444444444
20,3,10,1,0.7368421052631579,0.4444444444444444
20,5,10,1,0.7368421052631579,0.4444444444444444
30,3,10,1,0.7368421052631579,0.4444444444444444
30,5,10,1,0.7368421052631579,0.4444444444444444
10,3,2,2,0.7368421052631579,0.4444444444444444
10,5,2,2,0.7368421052631579,0.4444444444444444
20,3,2,2,0.7368421052631579,0.4444444444444444
20,5,2,2,0.7368421052631579,0.4444444444444444
30,3,2,2,0.7368421052631579,0.4444444444444444
30,5,2,2,0.7368421052631579,0.4444444444444444
10,3,5,2,0.7368421052631579,0.4444444444444444
30,5,10,4,0.7368421052631579,0.4444444444444444
10,5,10,1,0.6842105263157895,0.4
10,3,10,1,0.6842105263157895,0.4
