n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,5,5,2,0.9811320754716981,0.8571428571428571
10,5,5,2,0.9811320754716981,0.8571428571428571
30,5,5,4,0.9811320754716981,0.8571428571428571
30,5,2,1,0.9811320754716981,0.8571428571428571
30,5,2,2,0.9811320754716981,0.8571428571428571
10,5,5,4,0.9811320754716981,0.8571428571428571
10,5,2,4,0.9811320754716981,0.8571428571428571
30,5,5,1,0.9811320754716981,0.8571428571428571
30,5,2,4,0.9811320754716981,0.8571428571428571
20,5,10,1,0.9622641509433962,0.75
10,5,10,2,0.9622641509433962,0.75
20,5,10,2,0.9622641509433962,0.75
30,5,10,2,0.9622641509433962,0.75
30,5,10,1,0.9622641509433962,0.75
20,5,2,4,0.9622641509433962,0.75
30,5,10,4,0.9622641509433962,0.75
20,5,5,4,0.9622641509433962,0.75
20,5,10,4,0.9622641509433962,0.75
10,5,10,1,0.9622641509433962,0.75
30,3,2,4,0.9622641509433962,0.6666666666666666
10,5,2,1,0.9622641509433962,0.6666666666666666
20,3,2,4,0.9622641509433962,0.6666666666666666
10,3,5,4,0.9622641509433962,0.6666666666666666
10,3,2,4,0.9622641509433962,0.6666666666666666
20,3,5,4,0.9622641509433962,0.6666666666666666
30,3,5,4,0.9622641509433962,0.6666666666666666
20,3,10,4,0.9622641509433962,0.6666666666666666
20,5,5,2,0.9622641509433962,0.6666666666666666
20,3,2,2,0.9622641509433962,0.6666666666666666
20,3,5,2,0.9622641509433962,0.6666666666666666
10,3,5,2,0.9622641509433962,0.6666666666666666
30,3,2,1,0.9622641509433962,0.6666666666666666
20,5,2,2,0.9622641509433962,0.6666666666666666
10,5,5,1,0.9622641509433962,0.6666666666666666
10,5,2,2,0.9622641509433962,0.6666666666666666
10,3,2,2,0.9622641509433962,0.6666666666666666
10,3,10,2,0.9433962264150944,0.5714285714285714
20,5,5,1,0.9433962264150944,0.5714285714285714
20,5,2,1,0.9433962264150944,0.5714285714285714
10,5,10,4,0.9433962264150944,0.5714285714285714
10,3,10,4,0.9433962264150944,0.5714285714285714
30,3,5,2,0.9433962264150944,0.4
20,3,2,1,0.9433962264150944,0.4
30,3,10,4,0.9433962264150944,0.4
10,3,5,1,0.9433962264150944,0.4
10,3,2,1,0.9433962264150944,0.4
20,3,5,1,0.9433962264150944,0.4
30,3,5,1,0.9433962264150944,0.4
30,3,10,1,0.9433962264150944,0.4
30,3,10,2,0.9433962264150944,0.4
30,3,2,2,0.9433962264150944,0.4
20,3,10,2,0.9433962264150944,0.4
20,3,10,1,0.9245283018867925,0.3333333333333333
10,3,10,1,0.9245283018867925,0.3333333333333333
