n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,5,2,0.9545454545454546,0.8571428571428571
10,5,2,4,0.9545454545454546,0.8571428571428571
30,3,5,2,0.9545454545454546,0.8571428571428571
30,5,5,2,0.9545454545454546,0.8571428571428571
10,3,10,2,0.9545454545454546,0.8571428571428571
10,5,10,2,0.9545454545454546,0.8571428571428571
20,5,10,2,0.9545454545454546,0.8571428571428571
30,3,10,2,0.9545454545454546,0.8571428571428571
30,5,10,2,0.9545454545454546,0.8571428571428571
10,3,2,4,0.9545454545454546,0.8571428571428571
30,3,2,4,0.9545454545454546,0.8571428571428571
30,3,2,2,0.9545454545454546,0.8571428571428571
30,5,2,4,0.9545454545454546,0.8571428571428571
10,3,5,4,0.9545454545454546,0.8571428571428571
10,5,5,4,0.9545454545454546,0.8571428571428571
30,3,5,4,0.9545454545454546,0.8571428571428571
30,5,5,4,0.9545454545454546,0.8571428571428571
10,3,10,4,0.9545454545454546,0.8571428571428571
10,5,10,4,0.9545454545454546,0.8571428571428571
30,3,10,4,0.9545454545454546,0.8571428571428571
30,5,2,2,0.9545454545454546,0.8571428571428571
30,5,10,4,0.9545454545454546,0.8571428571428571
20,5,2,2,0.9545454545454546,0.8571428571428571
30,5,2,1,0.9545454545454546,0.8571428571428571
30,5,5,1,0.9545454545454546,0.8571428571428571
10,3,10,1,0.9545454545454546,0.8571428571428571
30,3,10,1,0.9545454545454546,0.8571428571428571
30,5,10,1,0.9545454545454546,0.8571428571428571
30,3,2,1,0.9545454545454546,0.8571428571428571
30,3,5,1,0.9545454545454546,0.8571428571428571
10,3,5,1,0.9090909090909091,0.6666666666666666
20,5,2,4,0.9090909090909091,0.6666666666666666
20,5,2,1,0.9090909090909091,0.6666666666666666
20,5,5,4,0.9090909090909091,0.6666666666666666
20,3,5,4,0.9090909090909091,0.6666666666666666
10,5,5,1,0.9090909090909091,0.6666666666666666
20,5,5,1,0.9090909090909091,0.6666666666666666
20,3,10,4,0.9090909090909091,0.6666666666666666
20,5,10,4,0.9090909090909091,0.6666666666666666
20,3,2,4,0.9090909090909091,0.6666666666666666
20,3,2,2,0.9090909090909091,0.6666666666666666
10,5,10,1,0.9090909090909091,0.6666666666666666
20,3,10,1,0.9090909090909091,0.6666666666666666
20,5,10,1,0.9090909090909091,0.6666666666666666
20,3,10,2,0.9090909090909091,0.6666666666666666
10,3,2,2,0.9090909090909091,0.6666666666666666
10,5,2,2,0.9090909090909091,0.6666666666666666
10,5,2,1,0.9090909090909091,0.6666666666666666
20,3,5,2,0.9090909090909091,0.6666666666666666
10,5,5,2,0.9090909090909091,0.6666666666666666
10,3,5,2,0.9090909090909091,0.6666666666666666
10,3,2,1,0.9090909090909091,0.6666666666666666
20,3,5,1,0.8636363636363636,0.4
20,3,2,1,0.8636363636363636,0.4
