n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,3,10,1,0.9166666666666666,0.4
20,5,10,2,0.8888888888888888,0.3333333333333333
20,5,10,1,0.8888888888888888,0.3333333333333333
10,5,10,1,0.8611111111111112,0.2857142857142857
10,5,10,2,0.8333333333333334,0.25
10,5,5,1,0.8333333333333334,0.25
10,3,2,1,0.8888888888888888,0.0
30,5,2,4,0.8888888888888888,0.0
20,3,10,2,0.8888888888888888,0.0
30,3,10,2,0.8888888888888888,0.0
30,5,10,2,0.8888888888888888,0.0
10,3,2,4,0.8611111111111112,0.0
10,5,2,4,0.8611111111111112,0.0
20,3,2,4,0.8888888888888888,0.0
20,5,2,4,0.8888888888888888,0.0
30,3,2,4,0.8888888888888888,0.0
10,5,5,4,0.8611111111111112,0.0
10,3,5,4,0.8611111111111112,0.0
30,5,5,2,0.8888888888888888,0.0
20,3,5,4,0.8888888888888888,0.0
20,5,5,4,0.8888888888888888,0.0
30,3,5,4,0.8888888888888888,0.0
30,5,5,4,0.8888888888888888,0.0
10,3,10,4,0.8611111111111112,0.0
10,5,10,4,0.8611111111111112,0.0
20,3,10,4,0.8888888888888888,0.0
20,5,10,4,0.8888888888888888,0.0
30,3,10,4,0.8888888888888888,0.0
10,3,10,2,0.8611111111111112,0.0
20,5,5,2,0.8611111111111112,0.0
30,3,5,2,0.8888888888888888,0.0
10,5,2,1,0.8333333333333334,0.0
20,3,2,1,0.8888888888888888,0.0
20,5,2,1,0.8611111111111112,0.0
30,3,2,1,0.8888888888888888,0.0
30,5,2,1,0.8888888888888888,0.0
10,3,5,1,0.8888888888888888,0.0
20,3,5,1,0.8888888888888888,0.0
20,5,5,1,0.8611111111111112,0.0
30,3,5,1,0.8888888888888888,0.0
30,5,5,1,0.8888888888888888,0.0
20,3,10,1,0.8888888888888888,0.0
30,3,10,1,0.8888888888888888,0.0
30,5,10,1,0.8611111111111112,0.0
10,3,2,2,0.8333333333333334,0.0
10,5,2,2,0.8611111111111112,0.0
20,3,2,2,0.8611111111111112,0.0
20,5,2,2,0.8611111111111112,0.0
30,3,2,2,0.8888888888888888,0.0
30,5,2,2,0.8888888888888888,0.0
10,3,5,2,0.8611111111111112,0.0
10,5,5,2,0.8611111111111112,0.0
20,3,5,2,0.8611111111111112,0.0
30,5,10,4,0.8888888888888888,0.0
