n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,3,2,1,0.9285714285714286,0.9565217391304348
30,5,2,2,0.9285714285714286,0.9565217391304348
10,5,10,1,0.9285714285714286,0.9565217391304348
10,3,5,1,0.9285714285714286,0.9565217391304348
30,5,5,2,0.9285714285714286,0.9565217391304348
10,5,10,2,0.9285714285714286,0.9565217391304348
20,5,10,2,0.9047619047619048,0.9428571428571428
10,3,5,2,0.9047619047619048,0.9428571428571428
30,3,5,2,0.9047619047619048,0.9428571428571428
30,3,10,2,0.9047619047619048,0.9428571428571428
10,3,2,2,0.9047619047619048,0.9428571428571428
30,5,10,2,0.9047619047619048,0.9428571428571428
30,3,2,4,0.9047619047619048,0.9428571428571428
30,3,5,4,0.9047619047619048,0.9428571428571428
10,5,10,4,0.9047619047619048,0.9428571428571428
20,5,10,4,0.9047619047619048,0.9428571428571428
30,3,2,2,0.9047619047619048,0.9428571428571428
30,5,10,4,0.9047619047619048,0.9428571428571428
30,5,10,1,0.9047619047619048,0.9428571428571428
30,3,5,1,0.9047619047619048,0.9428571428571428
20,3,2,1,0.9047619047619048,0.9428571428571428
30,3,2,1,0.9047619047619048,0.9428571428571428
30,3,10,1,0.9047619047619048,0.9428571428571428
20,5,10,1,0.9047619047619048,0.9428571428571428
30,5,2,1,0.9047619047619048,0.9428571428571428
10,5,2,2,0.9047619047619048,0.9411764705882353
20,5,5,2,0.9047619047619048,0.9411764705882353
20,3,10,1,0.8809523809523809,0.927536231884058
30,5,2,4,0.8809523809523809,0.927536231884058
30,3,10,4,0.8809523809523809,0.927536231884058
20,3,2,2,0.8809523809523809,0.927536231884058
20,3,10,4,0.8809523809523809,0.927536231884058
20,5,2,1,0.8809523809523809,0.927536231884058
10,3,10,4,0.8809523809523809,0.927536231884058
30,5,5,4,0.8809523809523809,0.927536231884058
20,5,2,2,0.8809523809523809,0.927536231884058
20,5,5,4,0.8809523809523809,0.927536231884058
20,3,5,4,0.8809523809523809,0.927536231884058
10,5,5,4,0.8809523809523809,0.927536231884058
10,3,5,4,0.8809523809523809,0.927536231884058
10,3,2,4,0.8809523809523809,0.927536231884058
10,3,10,1,0.8809523809523809,0.927536231884058
20,5,2,4,0.8809523809523809,0.927536231884058
20,3,2,4,0.8809523809523809,0.927536231884058
10,5,2,4,0.8809523809523809,0.927536231884058
10,5,5,2,0.8809523809523809,0.927536231884058
10,5,5,1,0.8809523809523809,0.927536231884058
20,3,5,1,0.8809523809523809,0.927536231884058
20,5,5,1,0.8809523809523809,0.927536231884058
20,3,10,2,0.8809523809523809,0.927536231884058
20,3,5,2,0.8809523809523809,0.927536231884058
10,3,10,2,0.8809523809523809,0.927536231884058
30,5,5,1,0.8809523809523809,0.927536231884058
10,5,2,1,0.8809523809523809,0.9253731343283582
