n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,10,4,0.6376811594202898,0.6153846153846154
10,5,10,2,0.6376811594202898,0.6031746031746031
10,5,10,1,0.6376811594202898,0.6031746031746031
10,3,10,1,0.6086956521739131,0.5970149253731343
20,3,5,4,0.6231884057971014,0.59375
20,5,5,4,0.6231884057971014,0.59375
10,5,5,4,0.6231884057971014,0.59375
20,5,2,4,0.6231884057971014,0.59375
20,3,2,4,0.6231884057971014,0.59375
10,5,5,1,0.6231884057971014,0.59375
10,5,2,4,0.6231884057971014,0.59375
20,5,10,2,0.6231884057971014,0.59375
30,3,5,4,0.6086956521739131,0.5846153846153846
30,3,2,4,0.6086956521739131,0.5846153846153846
30,3,5,2,0.6231884057971014,0.5806451612903226
30,3,2,2,0.6231884057971014,0.5806451612903226
20,5,5,1,0.5942028985507246,0.5757575757575758
30,5,5,1,0.5942028985507246,0.5757575757575758
20,5,2,1,0.5942028985507246,0.5757575757575758
30,5,2,4,0.5942028985507246,0.5757575757575758
30,5,5,4,0.5942028985507246,0.5757575757575758
20,3,10,2,0.6086956521739131,0.5714285714285714
20,3,2,2,0.6086956521739131,0.5714285714285714
20,3,10,4,0.6086956521739131,0.5714285714285714
30,5,10,2,0.6086956521739131,0.5714285714285714
20,3,10,1,0.6086956521739131,0.5714285714285714
20,3,5,2,0.6086956521739131,0.5714285714285714
10,3,10,2,0.5797101449275363,0.5671641791044776
10,3,10,4,0.5797101449275363,0.5671641791044776
10,5,2,1,0.5942028985507246,0.5625
30,5,10,1,0.5942028985507246,0.5625
20,5,10,1,0.5942028985507246,0.5625
20,3,2,1,0.6086956521739131,0.5573770491803278
20,3,5,1,0.6086956521739131,0.5573770491803278
30,3,10,1,0.6086956521739131,0.5573770491803278
10,5,2,2,0.6086956521739131,0.5573770491803278
20,5,10,4,0.5507246376811594,0.5507246376811594
30,3,5,1,0.5942028985507246,0.5483870967741935
30,3,2,1,0.5942028985507246,0.5483870967741935
30,5,5,2,0.5797101449275363,0.5396825396825397
10,5,5,2,0.5797101449275363,0.5396825396825397
10,3,5,2,0.5507246376811594,0.5373134328358209
10,3,2,2,0.5507246376811594,0.5373134328358209
30,5,10,4,0.5507246376811594,0.5373134328358209
30,3,10,4,0.5652173913043478,0.53125
20,5,5,2,0.5652173913043478,0.53125
30,3,10,2,0.5652173913043478,0.53125
10,3,5,4,0.5362318840579711,0.5294117647058824
10,3,2,4,0.5362318840579711,0.5294117647058824
20,5,2,2,0.5507246376811594,0.5230769230769231
30,5,2,2,0.5652173913043478,0.5161290322580645
30,5,2,1,0.5507246376811594,0.5079365079365079
10,3,5,1,0.5362318840579711,0.5
10,3,2,1,0.5362318840579711,0.5
