n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,2,1,1.0,1.0
10,5,5,1,1.0,1.0
10,5,2,2,1.0,1.0
10,5,10,1,1.0,1.0
30,5,10,2,1.0,1.0
30,5,5,1,1.0,1.0
20,5,5,1,1.0,1.0
10,5,10,2,1.0,1.0
30,5,2,1,1.0,1.0
10,5,5,2,1.0,1.0
20,5,2,1,1.0,1.0
30,5,10,1,1.0,1.0
20,5,10,2,0.96875,0.967741935483871
20,5,10,1,0.96875,0.967741935483871
10,5,2,4,0.9375,0.9333333333333333
30,3,10,2,0.9375,0.9333333333333333
10,3,2,4,0.9375,0.9333333333333333
10,3,10,2,0.9375,0.9333333333333333
10,3,2,1,0.9375,0.9333333333333333
20,5,2,4,0.9375,0.9333333333333333
30,5,5,2,0.9375,0.9333333333333333
10,3,5,4,0.9375,0.9333333333333333
10,5,5,4,0.9375,0.9333333333333333
20,5,5,4,0.9375,0.9333333333333333
30,5,5,4,0.9375,0.9333333333333333
10,3,10,4,0.9375,0.9333333333333333
10,5,10,4,0.9375,0.9333333333333333
30,5,2,4,0.9375,0.9333333333333333
20,5,5,2,0.9375,0.9333333333333333
30,3,5,2,0.9375,0.9333333333333333
10,3,2,2,0.9375,0.9333333333333333
30,3,2,1,0.9375,0.9333333333333333
10,3,5,1,0.9375,0.9333333333333333
30,3,5,1,0.9375,0.9333333333333333
10,3,10,1,0.9375,0.9333333333333333
30,3,10,1,0.9375,0.9333333333333333
30,5,10,4,0.9375,0.9333333333333333
30,5,2,2,0.9375,0.9333333333333333
10,3,5,2,0.9375,0.9333333333333333
30,3,2,2,0.9375,0.9333333333333333
20,3,2,2,0.90625,0.9032258064516129
20,3,2,1,0.90625,0.9032258064516129
20,3,10,2,0.90625,0.9032258064516129
20,3,5,1,0.90625,0.9032258064516129
20,3,5,2,0.90625,0.9032258064516129
20,3,10,1,0.90625,0.9032258064516129
30,3,5,4,0.90625,0.896551724137931
30,3,2,4,0.90625,0.896551724137931
20,5,2,2,0.90625,0.896551724137931
20,5,10,4,0.90625,0.896551724137931
30,3,10,4,0.90625,0.896551724137931
20,3,5,4,0.875,0.8666666666666667
20,3,2,4,0.875,0.8666666666666667
20,3,10,4,0.875,0.8666666666666667
