n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,5,4,1.0,1.0
20,5,2,4,1.0,1.0
10,5,5,4,0.9696969696969697,0.96
10,5,5,1,0.9696969696969697,0.96
10,5,2,4,0.9696969696969697,0.96
10,5,5,2,0.9696969696969697,0.96
20,5,10,4,0.9696969696969697,0.9565217391304348
30,5,5,4,0.9696969696969697,0.9565217391304348
30,5,2,4,0.9696969696969697,0.9565217391304348
20,5,5,1,0.9696969696969697,0.9565217391304348
20,5,5,2,0.9393939393939394,0.9166666666666666
10,5,2,2,0.9393939393939394,0.9166666666666666
20,5,2,2,0.9393939393939394,0.9166666666666666
20,5,10,2,0.9393939393939394,0.9090909090909091
30,5,2,2,0.9393939393939394,0.9090909090909091
30,5,10,4,0.9393939393939394,0.9090909090909091
20,5,10,1,0.9393939393939394,0.9090909090909091
20,5,2,1,0.9393939393939394,0.9090909090909091
30,5,2,1,0.9393939393939394,0.9090909090909091
30,5,5,1,0.9393939393939394,0.9090909090909091
10,5,10,1,0.9090909090909091,0.88
10,5,10,2,0.9090909090909091,0.88
30,5,5,2,0.9090909090909091,0.8695652173913043
10,5,10,4,0.9090909090909091,0.8695652173913043
30,5,10,2,0.9090909090909091,0.8571428571428571
20,3,2,1,0.9090909090909091,0.8571428571428571
10,3,5,1,0.9090909090909091,0.8571428571428571
20,3,5,1,0.9090909090909091,0.8571428571428571
30,5,10,1,0.9090909090909091,0.8571428571428571
10,3,2,1,0.9090909090909091,0.8571428571428571
10,3,5,2,0.9090909090909091,0.8571428571428571
10,3,2,2,0.9090909090909091,0.8571428571428571
20,3,2,2,0.9090909090909091,0.8571428571428571
20,3,5,2,0.9090909090909091,0.8571428571428571
10,3,10,2,0.8787878787878788,0.8
10,3,10,4,0.8787878787878788,0.8
30,3,2,1,0.8787878787878788,0.8
30,3,2,2,0.8787878787878788,0.8
30,3,5,2,0.8787878787878788,0.8
30,3,10,1,0.8787878787878788,0.8
10,3,10,1,0.8787878787878788,0.8
30,3,5,1,0.8787878787878788,0.8
30,3,10,2,0.8787878787878788,0.8
30,3,2,4,0.8484848484848485,0.7619047619047619
20,3,2,4,0.8484848484848485,0.7619047619047619
20,3,5,4,0.8484848484848485,0.7619047619047619
30,3,5,4,0.8484848484848485,0.7619047619047619
20,3,10,1,0.8484848484848485,0.7619047619047619
20,3,10,4,0.8484848484848485,0.7619047619047619
20,3,10,2,0.8484848484848485,0.7619047619047619
30,3,10,4,0.8484848484848485,0.7619047619047619
10,3,2,4,0.8484848484848485,0.7368421052631579
10,3,5,4,0.8484848484848485,0.7368421052631579
10,5,2,1,0.8181818181818182,0.7
