n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,3,2,4,0.8548387096774194,0.4
20,3,10,4,0.8548387096774194,0.4
10,3,5,4,0.8548387096774194,0.4
10,3,10,4,0.8548387096774194,0.4
20,3,2,4,0.8548387096774194,0.4
20,3,5,4,0.8548387096774194,0.4
10,5,5,2,0.8387096774193549,0.375
20,3,5,1,0.8709677419354839,0.3333333333333333
10,3,10,2,0.8064516129032258,0.3333333333333333
20,3,5,2,0.8548387096774194,0.3076923076923077
30,3,5,2,0.8548387096774194,0.3076923076923077
30,3,5,1,0.8548387096774194,0.3076923076923077
20,3,2,1,0.8548387096774194,0.3076923076923077
20,3,10,1,0.8548387096774194,0.3076923076923077
30,3,2,2,0.8548387096774194,0.3076923076923077
20,3,2,2,0.8548387096774194,0.3076923076923077
20,3,10,2,0.8387096774193549,0.2857142857142857
10,3,5,2,0.8387096774193549,0.2857142857142857
10,3,2,1,0.8387096774193549,0.2857142857142857
10,3,2,2,0.8387096774193549,0.2857142857142857
30,3,2,4,0.8387096774193549,0.2857142857142857
30,3,5,4,0.8387096774193549,0.2857142857142857
10,3,5,1,0.8387096774193549,0.2857142857142857
30,3,2,1,0.8387096774193549,0.2857142857142857
30,3,10,4,0.8387096774193549,0.2857142857142857
30,3,10,1,0.8225806451612904,0.26666666666666666
20,5,2,2,0.8225806451612904,0.26666666666666666
30,5,10,2,0.8225806451612904,0.26666666666666666
20,5,10,4,0.8225806451612904,0.26666666666666666
30,3,10,2,0.8225806451612904,0.26666666666666666
20,5,2,4,0.8064516129032258,0.25
10,5,5,4,0.8064516129032258,0.25
30,5,2,4,0.8064516129032258,0.25
10,5,2,1,0.8064516129032258,0.25
20,5,5,4,0.8064516129032258,0.25
30,5,5,4,0.8064516129032258,0.25
10,5,10,4,0.8064516129032258,0.25
10,5,2,4,0.8064516129032258,0.25
20,5,5,2,0.7903225806451613,0.23529411764705882
20,5,10,2,0.7903225806451613,0.23529411764705882
30,5,5,2,0.7903225806451613,0.23529411764705882
30,5,2,2,0.7903225806451613,0.23529411764705882
10,5,2,2,0.7903225806451613,0.23529411764705882
30,5,10,1,0.7903225806451613,0.23529411764705882
10,5,10,1,0.7903225806451613,0.23529411764705882
30,5,10,4,0.7903225806451613,0.23529411764705882
10,5,10,2,0.7741935483870968,0.2222222222222222
20,5,10,1,0.7741935483870968,0.2222222222222222
10,3,10,1,0.7741935483870968,0.2222222222222222
30,5,5,1,0.7741935483870968,0.2222222222222222
30,5,2,1,0.7741935483870968,0.2222222222222222
20,5,5,1,0.7580645161290323,0.21052631578947367
10,5,5,1,0.7580645161290323,0.21052631578947367
20,5,2,1,0.7580645161290323,0.21052631578947367
