n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,10,4,0.9014084507042254,0.9176470588235294
10,3,2,1,0.8873239436619719,0.9069767441860465
10,5,10,2,0.8873239436619719,0.9069767441860465
20,5,5,4,0.8873239436619719,0.9069767441860465
20,5,2,4,0.8873239436619719,0.9069767441860465
30,5,10,2,0.8873239436619719,0.9069767441860465
20,5,10,2,0.8873239436619719,0.9069767441860465
10,5,5,1,0.8873239436619719,0.9069767441860465
30,5,10,4,0.8873239436619719,0.9047619047619048
20,5,5,2,0.8732394366197183,0.896551724137931
30,5,10,1,0.8732394366197183,0.896551724137931
10,3,10,2,0.8732394366197183,0.896551724137931
10,5,5,2,0.8732394366197183,0.896551724137931
20,3,10,2,0.8732394366197183,0.896551724137931
30,3,10,2,0.8732394366197183,0.896551724137931
10,5,2,2,0.8732394366197183,0.896551724137931
30,5,5,2,0.8732394366197183,0.896551724137931
10,5,2,1,0.8732394366197183,0.896551724137931
30,3,10,1,0.8732394366197183,0.896551724137931
20,5,10,1,0.8732394366197183,0.896551724137931
10,5,10,1,0.8732394366197183,0.896551724137931
10,3,10,1,0.8732394366197183,0.896551724137931
30,5,5,1,0.8732394366197183,0.896551724137931
30,5,2,4,0.8732394366197183,0.8941176470588236
10,5,2,4,0.8732394366197183,0.8941176470588236
10,3,5,4,0.8732394366197183,0.8941176470588236
10,5,5,4,0.8732394366197183,0.8941176470588236
10,3,2,4,0.8732394366197183,0.8941176470588236
30,3,5,4,0.8732394366197183,0.8941176470588236
20,3,5,4,0.8732394366197183,0.8941176470588236
30,3,2,4,0.8732394366197183,0.8941176470588236
30,5,5,4,0.8732394366197183,0.8941176470588236
10,3,10,4,0.8732394366197183,0.8941176470588236
10,5,10,4,0.8732394366197183,0.8941176470588236
20,3,10,4,0.8732394366197183,0.8941176470588236
30,3,10,4,0.8732394366197183,0.8941176470588236
20,3,2,4,0.8732394366197183,0.8941176470588236
20,5,2,1,0.8591549295774648,0.8863636363636364
20,3,2,1,0.8591549295774648,0.8863636363636364
20,5,5,1,0.8591549295774648,0.8863636363636364
30,3,2,1,0.8591549295774648,0.8863636363636364
30,5,2,1,0.8591549295774648,0.8863636363636364
10,3,5,1,0.8591549295774648,0.8863636363636364
30,3,5,1,0.8591549295774648,0.8863636363636364
30,3,5,2,0.8591549295774648,0.8863636363636364
20,3,5,2,0.8591549295774648,0.8863636363636364
10,3,5,2,0.8591549295774648,0.8863636363636364
30,5,2,2,0.8591549295774648,0.8863636363636364
30,3,2,2,0.8591549295774648,0.8863636363636364
20,5,2,2,0.8591549295774648,0.8863636363636364
20,3,2,2,0.8591549295774648,0.8863636363636364
10,3,2,2,0.8591549295774648,0.8863636363636364
20,3,10,1,0.8591549295774648,0.8863636363636364
20,3,5,1,0.8591549295774648,0.8863636363636364
