n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,3,2,1,0.8333333333333334,0.8235294117647058
30,5,5,2,0.8333333333333334,0.8235294117647058
20,5,2,2,0.8333333333333334,0.8235294117647058
30,3,2,2,0.8333333333333334,0.8235294117647058
30,5,2,2,0.8333333333333334,0.8235294117647058
20,3,5,2,0.8333333333333334,0.8235294117647058
10,5,2,1,0.8333333333333334,0.8235294117647058
30,3,5,2,0.8333333333333334,0.8235294117647058
10,5,10,2,0.8333333333333334,0.8235294117647058
30,5,10,1,0.8333333333333334,0.8235294117647058
20,3,10,2,0.8333333333333334,0.8235294117647058
20,5,10,2,0.8333333333333334,0.8235294117647058
20,3,2,4,0.8333333333333334,0.8235294117647058
20,5,2,4,0.8333333333333334,0.8235294117647058
20,3,5,4,0.8333333333333334,0.8235294117647058
20,5,5,4,0.8333333333333334,0.8235294117647058
20,3,2,2,0.8333333333333334,0.8235294117647058
20,5,5,2,0.8333333333333334,0.8235294117647058
20,5,5,1,0.8333333333333334,0.8235294117647058
30,5,5,1,0.8333333333333334,0.8235294117647058
30,3,2,1,0.8333333333333334,0.8235294117647058
30,5,2,1,0.8333333333333334,0.8235294117647058
20,3,2,1,0.8333333333333334,0.8235294117647058
10,3,5,1,0.8333333333333334,0.8235294117647058
10,5,5,1,0.8333333333333334,0.8235294117647058
20,3,5,1,0.8333333333333334,0.8235294117647058
30,3,5,1,0.8333333333333334,0.8235294117647058
20,5,2,1,0.8333333333333334,0.8235294117647058
10,5,10,1,0.8333333333333334,0.8235294117647058
20,3,10,1,0.8333333333333334,0.8235294117647058
20,5,10,1,0.8333333333333334,0.8235294117647058
10,5,5,2,0.7777777777777778,0.7777777777777778
10,5,2,2,0.7777777777777778,0.7777777777777778
20,3,10,4,0.7777777777777778,0.75
10,5,5,4,0.7777777777777778,0.75
10,3,10,4,0.7777777777777778,0.75
20,5,10,4,0.7777777777777778,0.75
30,5,5,4,0.7777777777777778,0.75
30,3,5,4,0.7777777777777778,0.75
30,3,10,4,0.7777777777777778,0.75
10,3,2,2,0.7777777777777778,0.75
30,5,10,4,0.7777777777777778,0.75
30,5,2,4,0.7777777777777778,0.75
30,3,2,4,0.7777777777777778,0.75
10,5,2,4,0.7777777777777778,0.75
30,5,10,2,0.7777777777777778,0.75
30,3,10,2,0.7777777777777778,0.75
10,3,10,2,0.7777777777777778,0.75
10,3,10,1,0.7777777777777778,0.75
10,3,5,2,0.7777777777777778,0.75
30,3,10,1,0.7777777777777778,0.75
10,5,10,4,0.7222222222222222,0.7058823529411765
10,3,5,4,0.6666666666666666,0.5714285714285714
10,3,2,4,0.6666666666666666,0.5714285714285714
