n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,2,1,0.925,0.9230769230769231
10,5,2,2,0.9,0.9
20,5,2,1,0.9,0.9
10,5,5,2,0.9,0.9
30,5,2,1,0.9,0.9
20,5,2,2,0.875,0.8780487804878049
30,5,10,2,0.85,0.8571428571428571
30,5,2,2,0.85,0.8571428571428571
30,5,5,2,0.85,0.8571428571428571
10,5,10,2,0.85,0.8571428571428571
20,5,10,2,0.85,0.8571428571428571
20,5,5,2,0.85,0.8571428571428571
10,5,2,4,0.85,0.8571428571428571
30,5,2,4,0.85,0.8571428571428571
10,5,5,4,0.85,0.8571428571428571
20,5,5,4,0.85,0.8571428571428571
30,5,5,4,0.85,0.8571428571428571
10,5,10,4,0.85,0.8571428571428571
20,5,10,4,0.85,0.8571428571428571
20,5,2,4,0.85,0.8571428571428571
30,5,10,4,0.85,0.8571428571428571
30,5,5,1,0.85,0.8571428571428571
10,5,5,1,0.85,0.8571428571428571
30,5,10,1,0.85,0.8571428571428571
20,5,5,1,0.85,0.8571428571428571
10,5,10,1,0.85,0.8571428571428571
20,5,10,1,0.85,0.8571428571428571
20,3,10,1,0.825,0.8292682926829268
20,3,2,1,0.825,0.8292682926829268
20,3,5,1,0.825,0.8292682926829268
20,3,10,2,0.825,0.8292682926829268
20,3,2,2,0.825,0.8292682926829268
20,3,5,2,0.825,0.8292682926829268
10,3,5,4,0.8,0.8181818181818182
10,3,2,2,0.8,0.8181818181818182
10,3,10,4,0.8,0.8181818181818182
10,3,5,1,0.8,0.8181818181818182
10,3,5,2,0.8,0.8181818181818182
10,3,10,2,0.8,0.8181818181818182
10,3,2,4,0.8,0.8181818181818182
10,3,10,1,0.8,0.8181818181818182
10,3,2,1,0.8,0.8181818181818182
30,3,5,1,0.8,0.8095238095238095
30,3,2,4,0.8,0.8095238095238095
30,3,10,1,0.8,0.8095238095238095
20,3,2,4,0.8,0.8095238095238095
30,3,5,2,0.8,0.8095238095238095
20,3,5,4,0.8,0.8095238095238095
30,3,2,2,0.8,0.8095238095238095
30,3,5,4,0.8,0.8095238095238095
30,3,2,1,0.8,0.8095238095238095
20,3,10,4,0.8,0.8095238095238095
30,3,10,2,0.8,0.8095238095238095
30,3,10,4,0.8,0.8095238095238095
