n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,5,1,0.6989247311827957,0.5172413793103449
20,5,10,4,0.6989247311827957,0.5172413793103449
30,5,10,4,0.6881720430107527,0.5084745762711864
20,5,5,4,0.6881720430107527,0.5084745762711864
30,5,10,2,0.6881720430107527,0.5084745762711864
20,3,2,2,0.6881720430107527,0.5084745762711864
20,5,2,4,0.6881720430107527,0.5084745762711864
30,5,10,1,0.6774193548387096,0.5
30,5,5,1,0.6774193548387096,0.5
20,3,2,1,0.6774193548387096,0.5
10,5,10,4,0.6881720430107527,0.49122807017543857
30,5,2,2,0.6881720430107527,0.49122807017543857
20,3,2,4,0.6881720430107527,0.49122807017543857
20,3,10,4,0.6881720430107527,0.49122807017543857
30,3,2,4,0.6881720430107527,0.49122807017543857
30,3,5,4,0.6881720430107527,0.49122807017543857
30,3,10,4,0.6881720430107527,0.49122807017543857
20,3,5,4,0.6881720430107527,0.49122807017543857
20,5,10,2,0.6774193548387096,0.4827586206896552
20,3,10,2,0.6774193548387096,0.4827586206896552
30,5,2,4,0.6774193548387096,0.4827586206896552
30,3,10,2,0.6774193548387096,0.4827586206896552
20,3,5,2,0.6774193548387096,0.4827586206896552
30,5,5,4,0.6774193548387096,0.4827586206896552
30,3,10,1,0.6774193548387096,0.4827586206896552
20,5,10,1,0.6774193548387096,0.4827586206896552
20,3,10,1,0.6774193548387096,0.4827586206896552
20,3,5,1,0.6774193548387096,0.4827586206896552
20,5,2,1,0.6774193548387096,0.4827586206896552
10,3,5,4,0.6989247311827957,0.48148148148148145
10,3,2,4,0.6989247311827957,0.48148148148148145
10,5,10,1,0.6666666666666666,0.4745762711864407
10,5,10,2,0.6666666666666666,0.4745762711864407
30,5,2,1,0.6774193548387096,0.4642857142857143
10,3,10,4,0.6989247311827957,0.46153846153846156
10,5,5,4,0.6451612903225806,0.45901639344262296
10,5,2,4,0.6451612903225806,0.45901639344262296
20,5,5,2,0.6666666666666666,0.45614035087719296
30,3,5,2,0.6666666666666666,0.45614035087719296
30,3,2,2,0.6666666666666666,0.45614035087719296
30,3,5,1,0.6666666666666666,0.45614035087719296
10,3,10,2,0.6559139784946236,0.4482758620689655
10,3,5,2,0.6559139784946236,0.4482758620689655
20,5,2,2,0.6559139784946236,0.4482758620689655
10,3,2,2,0.6559139784946236,0.4482758620689655
10,3,10,1,0.6559139784946236,0.4482758620689655
10,5,5,1,0.6559139784946236,0.4482758620689655
10,3,5,1,0.6559139784946236,0.4482758620689655
10,3,2,1,0.6559139784946236,0.4482758620689655
10,5,2,1,0.6774193548387096,0.4444444444444444
30,5,5,2,0.6666666666666666,0.43636363636363634
30,3,2,1,0.6559139784946236,0.42857142857142855
10,5,2,2,0.6344086021505376,0.41379310344827586
10,5,5,2,0.6344086021505376,0.37037037037037035
