n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,3,5,4,0.7857142857142857,0.8514851485148515
20,5,2,4,0.7857142857142857,0.8514851485148515
30,3,2,4,0.7857142857142857,0.8514851485148515
20,3,2,4,0.7857142857142857,0.8514851485148515
10,3,5,4,0.7857142857142857,0.8514851485148515
10,3,10,2,0.7857142857142857,0.8514851485148515
10,3,10,1,0.7857142857142857,0.8514851485148515
20,3,5,4,0.7857142857142857,0.8514851485148515
20,5,5,4,0.7857142857142857,0.8514851485148515
10,3,2,2,0.7857142857142857,0.8514851485148515
10,3,2,4,0.7857142857142857,0.8514851485148515
10,3,5,2,0.7857142857142857,0.8514851485148515
10,3,10,4,0.7857142857142857,0.8514851485148515
20,3,10,4,0.7857142857142857,0.8514851485148515
20,5,10,4,0.7857142857142857,0.8514851485148515
30,3,10,4,0.7857142857142857,0.8514851485148515
10,5,2,4,0.7857142857142857,0.8484848484848485
10,5,2,1,0.7857142857142857,0.8484848484848485
30,5,10,4,0.7857142857142857,0.8484848484848485
10,5,5,4,0.7857142857142857,0.8484848484848485
30,5,2,4,0.7857142857142857,0.8484848484848485
10,5,10,1,0.7857142857142857,0.8484848484848485
30,5,5,4,0.7857142857142857,0.8484848484848485
10,5,5,1,0.7857142857142857,0.8484848484848485
10,5,10,4,0.7857142857142857,0.8484848484848485
30,5,10,2,0.7714285714285715,0.84
30,3,10,2,0.7714285714285715,0.84
20,5,10,2,0.7714285714285715,0.84
20,3,10,2,0.7714285714285715,0.84
10,3,2,1,0.7714285714285715,0.84
30,5,5,2,0.7714285714285715,0.84
20,3,10,1,0.7714285714285715,0.84
20,3,2,1,0.7714285714285715,0.84
20,5,2,1,0.7714285714285715,0.84
30,3,2,1,0.7714285714285715,0.84
30,5,2,1,0.7714285714285715,0.84
10,3,5,1,0.7714285714285715,0.84
20,3,5,1,0.7714285714285715,0.84
20,5,5,1,0.7714285714285715,0.84
30,3,5,1,0.7714285714285715,0.84
30,5,5,1,0.7714285714285715,0.84
20,5,10,1,0.7714285714285715,0.84
30,3,10,1,0.7714285714285715,0.84
30,5,10,1,0.7714285714285715,0.84
20,3,2,2,0.7714285714285715,0.84
20,5,2,2,0.7714285714285715,0.84
30,3,2,2,0.7714285714285715,0.84
30,5,2,2,0.7714285714285715,0.84
20,3,5,2,0.7714285714285715,0.84
30,3,5,2,0.7714285714285715,0.84
20,5,5,2,0.7714285714285715,0.84
10,5,10,2,0.7714285714285715,0.8333333333333334
10,5,2,2,0.7714285714285715,0.8333333333333334
10,5,5,2,0.7714285714285715,0.8333333333333334
