depth,dim,heads,dropout,accuracy,f1_score
5.0,64.0,4.0,0.1,0.6,0.6
3.0,32.0,2.0,0.1,0.5,0.5454545454545454
5.0,32.0,2.0,0.2,0.5,0.5454545454545454
5.0,32.0,2.0,0.1,0.5,0.5454545454545454
3.0,32.0,4.0,0.1,0.5,0.5454545454545454
3.0,32.0,2.0,0.3,0.5,0.5454545454545454
3.0,64.0,4.0,0.2,0.5,0.5454545454545454
5.0,32.0,4.0,0.3,0.4,0.5
3.0,64.0,4.0,0.3,0.4,0.5
5.0,64.0,4.0,0.3,0.6,0.5
3.0,64.0,2.0,0.2,0.4,0.5
3.0,64.0,4.0,0.1,0.4,0.5
3.0,64.0,2.0,0.1,0.3,0.46153846153846156
5.0,32.0,4.0,0.2,0.3,0.46153846153846156
3.0,64.0,2.0,0.3,0.3,0.46153846153846156
3.0,32.0,4.0,0.3,0.3,0.46153846153846156
5.0,64.0,2.0,0.2,0.5,0.4444444444444444
3.0,32.0,4.0,0.2,0.5,0.4444444444444444
3.0,32.0,2.0,0.2,0.4,0.4
5.0,32.0,4.0,0.1,0.4,0.4
5.0,32.0,2.0,0.3,0.4,0.4
5.0,64.0,4.0,0.2,0.3,0.36363636363636365
5.0,64.0,2.0,0.3,0.3,0.36363636363636365
5.0,64.0,2.0,0.1,0.3,0.36363636363636365
