depth,dim,heads,dropout,accuracy,f1_score
3.0,64.0,4.0,0.1,0.7777777777777778,0.8235294117647058
5.0,64.0,2.0,0.3,0.7777777777777778,0.8125
5.0,64.0,4.0,0.1,0.7777777777777778,0.8125
5.0,64.0,2.0,0.2,0.7407407407407407,0.7878787878787878
5.0,64.0,2.0,0.1,0.7407407407407407,0.7878787878787878
3.0,64.0,2.0,0.2,0.7407407407407407,0.7878787878787878
3.0,32.0,2.0,0.1,0.7407407407407407,0.7741935483870968
3.0,32.0,4.0,0.3,0.7407407407407407,0.7741935483870968
3.0,64.0,2.0,0.3,0.7407407407407407,0.7741935483870968
5.0,64.0,4.0,0.2,0.7407407407407407,0.7741935483870968
3.0,64.0,4.0,0.2,0.7407407407407407,0.7741935483870968
5.0,64.0,4.0,0.3,0.7407407407407407,0.7741935483870968
5.0,32.0,2.0,0.2,0.7407407407407407,0.7741935483870968
3.0,32.0,4.0,0.1,0.7407407407407407,0.7741935483870968
3.0,64.0,2.0,0.1,0.6666666666666666,0.7428571428571429
3.0,32.0,2.0,0.2,0.7037037037037037,0.7333333333333333
5.0,32.0,2.0,0.1,0.7037037037037037,0.7333333333333333
3.0,32.0,2.0,0.3,0.6666666666666666,0.6896551724137931
5.0,32.0,4.0,0.1,0.6666666666666666,0.6896551724137931
5.0,32.0,2.0,0.3,0.6666666666666666,0.6896551724137931
3.0,64.0,4.0,0.3,0.6666666666666666,0.6896551724137931
3.0,32.0,4.0,0.2,0.6666666666666666,0.6896551724137931
5.0,32.0,4.0,0.2,0.6296296296296297,0.6428571428571429
5.0,32.0,4.0,0.3,0.6296296296296297,0.6428571428571429
