depth,dim,heads,dropout,accuracy,f1_score
5.0,64.0,4.0,0.1,0.95,0.96
3.0,64.0,4.0,0.1,0.95,0.96
5.0,64.0,2.0,0.3,0.9,0.9285714285714286
3.0,64.0,4.0,0.3,0.9,0.9285714285714286
5.0,64.0,4.0,0.3,0.9,0.9230769230769231
3.0,64.0,4.0,0.2,0.9,0.9230769230769231
5.0,64.0,2.0,0.2,0.9,0.9230769230769231
3.0,64.0,2.0,0.2,0.9,0.9230769230769231
3.0,64.0,2.0,0.3,0.9,0.9230769230769231
3.0,64.0,2.0,0.1,0.85,0.8888888888888888
5.0,64.0,2.0,0.1,0.85,0.8888888888888888
5.0,32.0,2.0,0.3,0.8,0.8666666666666667
5.0,32.0,4.0,0.1,0.8,0.8666666666666667
3.0,32.0,4.0,0.1,0.8,0.8666666666666667
3.0,32.0,4.0,0.3,0.8,0.8666666666666667
5.0,32.0,2.0,0.1,0.8,0.8666666666666667
5.0,64.0,4.0,0.2,0.8,0.8571428571428571
5.0,32.0,4.0,0.3,0.75,0.8387096774193549
3.0,32.0,2.0,0.1,0.75,0.8387096774193549
3.0,32.0,2.0,0.3,0.75,0.8387096774193549
5.0,32.0,4.0,0.2,0.75,0.8387096774193549
5.0,32.0,2.0,0.2,0.75,0.8387096774193549
3.0,32.0,2.0,0.2,0.75,0.8387096774193549
3.0,32.0,4.0,0.2,0.75,0.8387096774193549
