depth,dim,heads,dropout,accuracy,f1_score
5.0,64.0,2.0,0.2,0.9,0.8333333333333334
5.0,64.0,4.0,0.2,0.85,0.6666666666666666
5.0,64.0,2.0,0.1,0.85,0.6666666666666666
5.0,32.0,2.0,0.3,0.85,0.6666666666666666
5.0,64.0,4.0,0.1,0.85,0.6666666666666666
3.0,64.0,2.0,0.2,0.85,0.6666666666666666
5.0,32.0,2.0,0.2,0.85,0.6666666666666666
3.0,64.0,4.0,0.2,0.85,0.6666666666666666
5.0,32.0,4.0,0.2,0.85,0.6666666666666666
3.0,32.0,2.0,0.1,0.8,0.6
5.0,32.0,4.0,0.3,0.8,0.6
3.0,64.0,4.0,0.3,0.8,0.6
5.0,64.0,2.0,0.3,0.8,0.6
3.0,64.0,2.0,0.3,0.8,0.6
3.0,32.0,2.0,0.3,0.8,0.6
3.0,32.0,4.0,0.2,0.8,0.6
3.0,64.0,2.0,0.1,0.8,0.6
3.0,32.0,2.0,0.2,0.8,0.6
5.0,32.0,4.0,0.1,0.8,0.6
3.0,64.0,4.0,0.1,0.8,0.6
3.0,32.0,4.0,0.1,0.8,0.6
5.0,64.0,4.0,0.3,0.8,0.6
3.0,32.0,4.0,0.3,0.8,0.5
5.0,32.0,2.0,0.1,0.75,0.4444444444444444
