depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.1,0.7727272727272727,0.5454545454545454
5.0,64.0,2.0,0.2,0.7727272727272727,0.5454545454545454
5.0,32.0,4.0,0.3,0.7727272727272727,0.5454545454545454
3.0,64.0,4.0,0.3,0.7727272727272727,0.5454545454545454
5.0,64.0,2.0,0.3,0.7727272727272727,0.5454545454545454
3.0,64.0,2.0,0.3,0.7727272727272727,0.5454545454545454
5.0,64.0,4.0,0.2,0.7727272727272727,0.5454545454545454
5.0,32.0,4.0,0.2,0.7727272727272727,0.5454545454545454
3.0,64.0,4.0,0.2,0.7727272727272727,0.5454545454545454
3.0,64.0,2.0,0.1,0.7727272727272727,0.5454545454545454
3.0,32.0,4.0,0.2,0.7727272727272727,0.5454545454545454
5.0,32.0,2.0,0.2,0.7727272727272727,0.5454545454545454
3.0,64.0,2.0,0.2,0.7727272727272727,0.5454545454545454
5.0,64.0,4.0,0.1,0.7727272727272727,0.5454545454545454
5.0,32.0,4.0,0.1,0.7727272727272727,0.5454545454545454
3.0,64.0,4.0,0.1,0.7727272727272727,0.5454545454545454
3.0,32.0,4.0,0.1,0.7727272727272727,0.5454545454545454
5.0,64.0,2.0,0.1,0.7727272727272727,0.5454545454545454
5.0,32.0,2.0,0.1,0.7727272727272727,0.5454545454545454
5.0,64.0,4.0,0.3,0.7727272727272727,0.5454545454545454
3.0,32.0,2.0,0.2,0.7272727272727273,0.4
3.0,32.0,2.0,0.3,0.7272727272727273,0.4
5.0,32.0,2.0,0.3,0.7272727272727273,0.4
3.0,32.0,4.0,0.3,0.7272727272727273,0.4
