depth,dim,heads,dropout,accuracy,f1_score
5.0,64.0,2.0,0.2,0.7758620689655172,0.6285714285714286
5.0,64.0,4.0,0.1,0.7758620689655172,0.6060606060606061
3.0,64.0,2.0,0.1,0.7931034482758621,0.6
3.0,32.0,4.0,0.1,0.7931034482758621,0.6
3.0,64.0,4.0,0.2,0.7931034482758621,0.6
5.0,32.0,4.0,0.3,0.7758620689655172,0.5806451612903226
3.0,32.0,2.0,0.3,0.7758620689655172,0.5806451612903226
5.0,64.0,4.0,0.3,0.7931034482758621,0.5714285714285714
3.0,64.0,2.0,0.2,0.7586206896551724,0.5625
5.0,32.0,2.0,0.3,0.7758620689655172,0.5517241379310345
3.0,64.0,4.0,0.3,0.7586206896551724,0.5333333333333333
3.0,64.0,2.0,0.3,0.7586206896551724,0.5333333333333333
3.0,32.0,4.0,0.2,0.7586206896551724,0.5333333333333333
5.0,32.0,4.0,0.2,0.7586206896551724,0.5
5.0,32.0,4.0,0.1,0.7586206896551724,0.5
5.0,64.0,2.0,0.1,0.7586206896551724,0.5
5.0,64.0,4.0,0.2,0.7413793103448276,0.4827586206896552
3.0,64.0,4.0,0.1,0.7241379310344828,0.4666666666666667
5.0,32.0,2.0,0.1,0.7241379310344828,0.4666666666666667
5.0,64.0,2.0,0.3,0.7068965517241379,0.45161290322580644
3.0,32.0,2.0,0.1,0.7068965517241379,0.45161290322580644
3.0,32.0,4.0,0.3,0.7413793103448276,0.4444444444444444
5.0,32.0,2.0,0.2,0.7241379310344828,0.38461538461538464
3.0,32.0,2.0,0.2,0.7241379310344828,0.38461538461538464
