depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,4.0,0.1,0.6956521739130435,0.6956521739130435
5.0,32.0,4.0,0.3,0.7101449275362319,0.6875
3.0,32.0,4.0,0.2,0.6521739130434783,0.6571428571428571
5.0,64.0,2.0,0.1,0.6376811594202898,0.647887323943662
5.0,32.0,2.0,0.1,0.6521739130434783,0.6470588235294118
5.0,32.0,4.0,0.2,0.6521739130434783,0.6470588235294118
3.0,64.0,4.0,0.1,0.6376811594202898,0.6376811594202898
5.0,64.0,4.0,0.2,0.6376811594202898,0.6376811594202898
5.0,64.0,4.0,0.1,0.6376811594202898,0.6376811594202898
3.0,64.0,2.0,0.2,0.6086956521739131,0.6301369863013698
3.0,32.0,2.0,0.3,0.6231884057971014,0.6285714285714286
5.0,32.0,2.0,0.2,0.6231884057971014,0.6285714285714286
3.0,64.0,2.0,0.3,0.6231884057971014,0.6285714285714286
3.0,64.0,2.0,0.1,0.6376811594202898,0.6268656716417911
3.0,32.0,2.0,0.2,0.6376811594202898,0.6268656716417911
5.0,64.0,2.0,0.3,0.6521739130434783,0.625
3.0,32.0,4.0,0.3,0.6521739130434783,0.625
3.0,64.0,4.0,0.3,0.6086956521739131,0.6197183098591549
3.0,64.0,4.0,0.2,0.6376811594202898,0.6153846153846154
5.0,32.0,4.0,0.1,0.6086956521739131,0.6086956521739131
5.0,64.0,2.0,0.2,0.6086956521739131,0.6086956521739131
5.0,32.0,2.0,0.3,0.6231884057971014,0.6060606060606061
5.0,64.0,4.0,0.3,0.6376811594202898,0.6031746031746031
3.0,32.0,2.0,0.1,0.6086956521739131,0.5846153846153846
