depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.1,1.0,1.0
5.0,32.0,2.0,0.2,1.0,1.0
3.0,64.0,4.0,0.3,1.0,1.0
5.0,64.0,2.0,0.3,1.0,1.0
3.0,64.0,2.0,0.3,1.0,1.0
5.0,64.0,4.0,0.2,1.0,1.0
5.0,32.0,4.0,0.2,1.0,1.0
3.0,64.0,4.0,0.2,1.0,1.0
3.0,64.0,2.0,0.1,1.0,1.0
5.0,64.0,2.0,0.2,1.0,1.0
5.0,64.0,4.0,0.3,1.0,1.0
3.0,64.0,2.0,0.2,1.0,1.0
3.0,32.0,2.0,0.2,1.0,1.0
5.0,64.0,4.0,0.1,1.0,1.0
3.0,64.0,4.0,0.1,1.0,1.0
5.0,64.0,2.0,0.1,1.0,1.0
5.0,32.0,4.0,0.1,0.96875,0.9655172413793104
3.0,32.0,4.0,0.1,0.96875,0.9655172413793104
5.0,32.0,2.0,0.1,0.96875,0.9655172413793104
3.0,32.0,2.0,0.3,0.9375,0.9285714285714286
5.0,32.0,2.0,0.3,0.9375,0.9285714285714286
3.0,32.0,4.0,0.3,0.90625,0.896551724137931
5.0,32.0,4.0,0.3,0.90625,0.896551724137931
3.0,32.0,4.0,0.2,0.875,0.8571428571428571
