depth,dim,heads,dropout,accuracy,f1_score
3.0,64.0,2.0,0.3,0.7878787878787878,0.6956521739130435
3.0,64.0,2.0,0.1,0.7575757575757576,0.6923076923076923
5.0,64.0,2.0,0.1,0.7575757575757576,0.6666666666666666
5.0,32.0,4.0,0.1,0.7575757575757576,0.6666666666666666
5.0,64.0,4.0,0.1,0.7878787878787878,0.6666666666666666
5.0,64.0,2.0,0.2,0.7878787878787878,0.6666666666666666
3.0,64.0,4.0,0.1,0.7272727272727273,0.64
5.0,64.0,4.0,0.2,0.7272727272727273,0.64
5.0,64.0,2.0,0.3,0.7575757575757576,0.6363636363636364
5.0,32.0,2.0,0.2,0.7575757575757576,0.6363636363636364
3.0,32.0,4.0,0.2,0.7272727272727273,0.6086956521739131
3.0,64.0,4.0,0.2,0.7272727272727273,0.6086956521739131
5.0,64.0,4.0,0.3,0.7272727272727273,0.6086956521739131
3.0,32.0,2.0,0.2,0.7272727272727273,0.6086956521739131
3.0,32.0,4.0,0.1,0.6666666666666666,0.5925925925925926
3.0,32.0,4.0,0.3,0.696969696969697,0.5833333333333334
5.0,32.0,4.0,0.3,0.7272727272727273,0.5714285714285714
3.0,64.0,4.0,0.3,0.6666666666666666,0.56
3.0,64.0,2.0,0.2,0.696969696969697,0.5454545454545454
3.0,32.0,2.0,0.3,0.696969696969697,0.5454545454545454
3.0,32.0,2.0,0.1,0.6363636363636364,0.5384615384615384
5.0,32.0,2.0,0.1,0.5757575757575758,0.5
5.0,32.0,4.0,0.2,0.5454545454545454,0.4827586206896552
5.0,32.0,2.0,0.3,0.5454545454545454,0.4827586206896552
