depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,4.0,0.2,0.7903225806451613,0.38095238095238093
5.0,64.0,4.0,0.2,0.7903225806451613,0.38095238095238093
3.0,64.0,2.0,0.3,0.7903225806451613,0.38095238095238093
5.0,64.0,4.0,0.3,0.7903225806451613,0.38095238095238093
3.0,32.0,4.0,0.3,0.7903225806451613,0.3157894736842105
3.0,32.0,2.0,0.3,0.7903225806451613,0.3157894736842105
3.0,32.0,4.0,0.1,0.7741935483870968,0.3
3.0,64.0,4.0,0.1,0.7741935483870968,0.3
5.0,32.0,4.0,0.3,0.7741935483870968,0.3
3.0,64.0,4.0,0.3,0.7741935483870968,0.3
5.0,64.0,2.0,0.3,0.7741935483870968,0.3
5.0,32.0,2.0,0.3,0.7741935483870968,0.3
5.0,32.0,2.0,0.1,0.7741935483870968,0.3
5.0,64.0,2.0,0.1,0.7741935483870968,0.3
5.0,32.0,4.0,0.2,0.7741935483870968,0.3
3.0,64.0,4.0,0.2,0.7741935483870968,0.3
3.0,64.0,2.0,0.1,0.7741935483870968,0.3
5.0,64.0,2.0,0.2,0.7741935483870968,0.3
5.0,32.0,2.0,0.2,0.7741935483870968,0.3
3.0,64.0,2.0,0.2,0.7741935483870968,0.3
5.0,64.0,4.0,0.1,0.7741935483870968,0.3
5.0,32.0,4.0,0.1,0.7741935483870968,0.3
3.0,32.0,2.0,0.1,0.7741935483870968,0.3
3.0,32.0,2.0,0.2,0.7419354838709677,0.2727272727272727
