depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.1,1.0,1.0
3.0,64.0,2.0,0.3,1.0,1.0
3.0,64.0,4.0,0.3,1.0,1.0
3.0,64.0,4.0,0.1,1.0,1.0
5.0,32.0,4.0,0.1,1.0,1.0
5.0,64.0,4.0,0.1,1.0,1.0
5.0,64.0,2.0,0.3,1.0,1.0
3.0,64.0,2.0,0.2,1.0,1.0
5.0,64.0,2.0,0.1,0.99,0.98989898989899
3.0,32.0,4.0,0.1,0.99,0.98989898989899
5.0,64.0,2.0,0.2,0.99,0.98989898989899
3.0,64.0,4.0,0.2,0.99,0.98989898989899
3.0,64.0,2.0,0.1,0.99,0.9896907216494846
5.0,64.0,4.0,0.2,0.99,0.9896907216494846
5.0,32.0,2.0,0.2,0.98,0.98
5.0,32.0,2.0,0.3,0.98,0.9795918367346939
3.0,32.0,4.0,0.2,0.98,0.9795918367346939
5.0,64.0,4.0,0.3,0.98,0.9795918367346939
5.0,32.0,4.0,0.2,0.98,0.9791666666666666
3.0,32.0,2.0,0.3,0.97,0.9696969696969697
3.0,32.0,2.0,0.2,0.97,0.9696969696969697
5.0,32.0,2.0,0.1,0.97,0.9696969696969697
5.0,32.0,4.0,0.3,0.97,0.9696969696969697
3.0,32.0,4.0,0.3,0.96,0.9591836734693877
