depth,dim,heads,dropout,accuracy,f1_score
5.0,32.0,2.0,0.2,0.8636363636363636,0.896551724137931
3.0,32.0,2.0,0.2,0.8636363636363636,0.896551724137931
3.0,32.0,4.0,0.2,0.7727272727272727,0.8148148148148148
5.0,32.0,4.0,0.1,0.7727272727272727,0.8148148148148148
5.0,32.0,4.0,0.2,0.7727272727272727,0.8148148148148148
5.0,64.0,4.0,0.3,0.7727272727272727,0.8148148148148148
5.0,32.0,2.0,0.1,0.7727272727272727,0.8148148148148148
3.0,32.0,2.0,0.1,0.7272727272727273,0.8125
3.0,32.0,2.0,0.3,0.7272727272727273,0.8125
3.0,32.0,4.0,0.1,0.7272727272727273,0.8125
5.0,32.0,4.0,0.3,0.7272727272727273,0.8125
3.0,64.0,4.0,0.3,0.7272727272727273,0.8125
3.0,32.0,4.0,0.3,0.7272727272727273,0.8125
5.0,64.0,2.0,0.3,0.7272727272727273,0.8125
3.0,64.0,2.0,0.3,0.7272727272727273,0.8125
5.0,32.0,2.0,0.3,0.6363636363636364,0.7333333333333333
3.0,64.0,4.0,0.1,0.6363636363636364,0.7333333333333333
5.0,64.0,4.0,0.1,0.6363636363636364,0.7333333333333333
3.0,64.0,4.0,0.2,0.6363636363636364,0.7333333333333333
3.0,64.0,2.0,0.1,0.6363636363636364,0.7333333333333333
5.0,64.0,2.0,0.2,0.6363636363636364,0.7333333333333333
5.0,64.0,2.0,0.1,0.6363636363636364,0.7333333333333333
3.0,64.0,2.0,0.2,0.6363636363636364,0.7333333333333333
5.0,64.0,4.0,0.2,0.6363636363636364,0.7333333333333333
