depth,dim,heads,dropout,accuracy,f1_score
3.0,64.0,2.0,0.3,0.9615384615384616,0.9696969696969697
3.0,64.0,2.0,0.2,0.9615384615384616,0.9696969696969697
3.0,32.0,4.0,0.2,0.9230769230769231,0.9411764705882353
5.0,64.0,4.0,0.2,0.9230769230769231,0.9375
3.0,64.0,4.0,0.1,0.9230769230769231,0.9375
3.0,32.0,2.0,0.2,0.9230769230769231,0.9375
5.0,64.0,2.0,0.3,0.8846153846153846,0.9090909090909091
5.0,64.0,2.0,0.2,0.8846153846153846,0.9032258064516129
5.0,32.0,4.0,0.2,0.8846153846153846,0.9032258064516129
3.0,64.0,2.0,0.1,0.8846153846153846,0.9032258064516129
5.0,64.0,4.0,0.3,0.8846153846153846,0.9032258064516129
5.0,32.0,2.0,0.1,0.8846153846153846,0.9032258064516129
5.0,64.0,4.0,0.1,0.8461538461538461,0.8888888888888888
3.0,64.0,4.0,0.2,0.8461538461538461,0.8888888888888888
5.0,64.0,2.0,0.1,0.8461538461538461,0.8888888888888888
5.0,32.0,4.0,0.1,0.8461538461538461,0.875
3.0,32.0,4.0,0.1,0.8461538461538461,0.8666666666666667
3.0,32.0,2.0,0.3,0.8076923076923077,0.8571428571428571
5.0,32.0,2.0,0.2,0.8076923076923077,0.8275862068965517
5.0,32.0,2.0,0.3,0.8076923076923077,0.8275862068965517
3.0,32.0,2.0,0.1,0.8076923076923077,0.8148148148148148
3.0,64.0,4.0,0.3,0.7692307692307693,0.8125
3.0,32.0,4.0,0.3,0.7692307692307693,0.7857142857142857
5.0,32.0,4.0,0.3,0.7692307692307693,0.7857142857142857
