depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,4.0,0.2,1.0,1.0
5.0,64.0,2.0,0.2,1.0,1.0
5.0,32.0,4.0,0.3,1.0,1.0
3.0,64.0,4.0,0.3,1.0,1.0
3.0,32.0,4.0,0.3,1.0,1.0
5.0,64.0,2.0,0.3,1.0,1.0
5.0,32.0,2.0,0.3,1.0,1.0
3.0,32.0,2.0,0.3,1.0,1.0
5.0,64.0,4.0,0.2,1.0,1.0
3.0,64.0,4.0,0.2,1.0,1.0
3.0,64.0,2.0,0.1,1.0,1.0
5.0,64.0,4.0,0.3,1.0,1.0
5.0,32.0,2.0,0.2,1.0,1.0
3.0,64.0,2.0,0.2,1.0,1.0
3.0,32.0,2.0,0.2,1.0,1.0
5.0,64.0,4.0,0.1,1.0,1.0
3.0,64.0,4.0,0.1,1.0,1.0
3.0,32.0,4.0,0.1,1.0,1.0
5.0,64.0,2.0,0.1,1.0,1.0
5.0,32.0,2.0,0.1,1.0,1.0
3.0,64.0,2.0,0.3,0.975,0.9767441860465116
5.0,32.0,4.0,0.1,0.975,0.9767441860465116
3.0,32.0,2.0,0.1,0.925,0.9333333333333333
5.0,32.0,4.0,0.2,0.925,0.926829268292683
