depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.1,0.86,0.851063829787234
5.0,32.0,4.0,0.2,0.86,0.851063829787234
5.0,32.0,4.0,0.3,0.86,0.851063829787234
3.0,64.0,4.0,0.3,0.86,0.851063829787234
3.0,32.0,4.0,0.3,0.86,0.851063829787234
5.0,64.0,2.0,0.3,0.86,0.851063829787234
5.0,32.0,4.0,0.1,0.86,0.851063829787234
5.0,64.0,4.0,0.1,0.86,0.851063829787234
3.0,64.0,2.0,0.3,0.86,0.851063829787234
5.0,32.0,2.0,0.2,0.86,0.851063829787234
5.0,64.0,2.0,0.2,0.86,0.851063829787234
3.0,64.0,2.0,0.1,0.86,0.851063829787234
5.0,64.0,4.0,0.2,0.84,0.8333333333333334
3.0,32.0,2.0,0.3,0.84,0.8260869565217391
3.0,32.0,4.0,0.2,0.84,0.8260869565217391
3.0,64.0,4.0,0.2,0.84,0.8260869565217391
5.0,32.0,2.0,0.1,0.84,0.8260869565217391
5.0,64.0,4.0,0.3,0.84,0.8260869565217391
3.0,64.0,2.0,0.2,0.82,0.8
3.0,32.0,2.0,0.2,0.82,0.8
5.0,32.0,2.0,0.3,0.82,0.8
3.0,64.0,4.0,0.1,0.82,0.8
3.0,32.0,4.0,0.1,0.82,0.8
5.0,64.0,2.0,0.1,0.82,0.8
