depth,dim,heads,dropout,accuracy,f1_score
5.0,32.0,4.0,0.1,0.6989247311827957,0.5757575757575758
5.0,32.0,4.0,0.2,0.6989247311827957,0.5625
3.0,32.0,4.0,0.2,0.6989247311827957,0.5483870967741935
5.0,64.0,4.0,0.3,0.6881720430107527,0.5396825396825397
5.0,64.0,4.0,0.2,0.6774193548387096,0.53125
3.0,32.0,4.0,0.1,0.6881720430107527,0.5245901639344263
5.0,64.0,2.0,0.2,0.6881720430107527,0.5245901639344263
3.0,64.0,2.0,0.3,0.6666666666666666,0.5230769230769231
3.0,64.0,4.0,0.2,0.6666666666666666,0.5230769230769231
5.0,64.0,2.0,0.3,0.6774193548387096,0.5161290322580645
3.0,32.0,2.0,0.2,0.6666666666666666,0.5079365079365079
3.0,64.0,4.0,0.3,0.6666666666666666,0.5079365079365079
5.0,32.0,2.0,0.3,0.6666666666666666,0.5079365079365079
5.0,64.0,4.0,0.1,0.6774193548387096,0.5
5.0,32.0,4.0,0.3,0.6666666666666666,0.4918032786885246
3.0,64.0,2.0,0.2,0.6666666666666666,0.4918032786885246
5.0,32.0,2.0,0.1,0.6559139784946236,0.4838709677419355
3.0,32.0,4.0,0.3,0.6666666666666666,0.4745762711864407
5.0,64.0,2.0,0.1,0.6236559139784946,0.46153846153846156
3.0,32.0,2.0,0.1,0.6129032258064516,0.45454545454545453
3.0,64.0,2.0,0.1,0.6344086021505376,0.45161290322580644
3.0,32.0,2.0,0.3,0.6559139784946236,0.4482758620689655
3.0,64.0,4.0,0.1,0.6129032258064516,0.4375
5.0,32.0,2.0,0.2,0.6236559139784946,0.4262295081967213
