depth,dim,heads,dropout,accuracy,f1_score
3.0,64.0,4.0,0.2,0.7857142857142857,0.8571428571428571
5.0,32.0,4.0,0.3,0.7857142857142857,0.8571428571428571
5.0,64.0,2.0,0.1,0.7857142857142857,0.8571428571428571
3.0,32.0,4.0,0.1,0.7857142857142857,0.8571428571428571
3.0,64.0,2.0,0.3,0.7857142857142857,0.8571428571428571
5.0,64.0,4.0,0.2,0.7857142857142857,0.8571428571428571
5.0,32.0,4.0,0.2,0.7857142857142857,0.8571428571428571
3.0,32.0,4.0,0.2,0.7571428571428571,0.8468468468468469
3.0,64.0,4.0,0.3,0.7714285714285715,0.8461538461538461
3.0,32.0,4.0,0.3,0.7714285714285715,0.8461538461538461
5.0,64.0,2.0,0.3,0.7714285714285715,0.8461538461538461
5.0,32.0,2.0,0.3,0.7714285714285715,0.8461538461538461
3.0,32.0,2.0,0.3,0.7714285714285715,0.8461538461538461
3.0,32.0,2.0,0.1,0.7714285714285715,0.8461538461538461
3.0,64.0,2.0,0.1,0.7714285714285715,0.8461538461538461
3.0,32.0,2.0,0.2,0.7714285714285715,0.8461538461538461
5.0,32.0,4.0,0.1,0.7714285714285715,0.8461538461538461
3.0,64.0,4.0,0.1,0.7714285714285715,0.8461538461538461
5.0,32.0,2.0,0.1,0.7714285714285715,0.8461538461538461
5.0,64.0,2.0,0.2,0.7428571428571429,0.8235294117647058
5.0,32.0,2.0,0.2,0.7428571428571429,0.8235294117647058
3.0,64.0,2.0,0.2,0.7428571428571429,0.8235294117647058
5.0,64.0,4.0,0.1,0.7428571428571429,0.8235294117647058
5.0,64.0,4.0,0.3,0.7428571428571429,0.8235294117647058
