learning_rate,epochs,context_size,accuracy,f1_score
0.05,10.0,3.0,0.7,0.7692307692307693
0.1,10.0,3.0,0.5,0.6666666666666666
0.1,10.0,5.0,0.5,0.6666666666666666
0.1,50.0,3.0,0.6,0.6666666666666666
0.05,30.0,3.0,0.5,0.5454545454545454
0.05,30.0,5.0,0.6,0.5
0.05,50.0,3.0,0.6,0.5
0.1,30.0,5.0,0.5,0.4444444444444444
0.05,50.0,5.0,0.4,0.4
0.001,10.0,3.0,0.6,0.3333333333333333
0.1,50.0,5.0,0.5,0.2857142857142857
0.05,10.0,5.0,0.4,0.25
0.1,30.0,3.0,0.4,0.25
0.001,30.0,5.0,0.3,0.2222222222222222
0.001,50.0,3.0,0.3,0.2222222222222222
0.001,10.0,5.0,0.3,0.2222222222222222
0.001,30.0,3.0,0.2,0.2
0.001,50.0,5.0,0.1,0.18181818181818182
