learning_rate,epochs,context_size,accuracy,f1_score
0.001,50.0,5.0,0.9411764705882353,0.9230769230769231
0.001,10.0,3.0,0.8823529411764706,0.8571428571428571
0.05,30.0,3.0,0.8823529411764706,0.8571428571428571
0.001,50.0,3.0,0.8823529411764706,0.8333333333333334
0.05,30.0,5.0,0.8235294117647058,0.8
0.001,10.0,5.0,0.8235294117647058,0.7692307692307693
0.1,30.0,5.0,0.7647058823529411,0.75
0.001,30.0,3.0,0.8235294117647058,0.7272727272727273
0.001,30.0,5.0,0.8235294117647058,0.7272727272727273
0.05,50.0,3.0,0.8235294117647058,0.7272727272727273
0.1,50.0,5.0,0.8235294117647058,0.7272727272727273
0.1,50.0,3.0,0.7647058823529411,0.6666666666666666
0.05,50.0,5.0,0.7647058823529411,0.6666666666666666
0.05,10.0,3.0,0.4117647058823529,0.5833333333333334
0.1,30.0,3.0,0.7058823529411765,0.5454545454545454
0.1,10.0,3.0,0.35294117647058826,0.5217391304347826
0.05,10.0,5.0,0.5882352941176471,0.2222222222222222
0.1,10.0,5.0,0.5882352941176471,0.2222222222222222
