learning_rate,epochs,context_size,accuracy,f1_score
0.001,50.0,3.0,0.8148148148148148,0.8571428571428571
0.05,30.0,5.0,0.7777777777777778,0.8333333333333334
0.001,50.0,5.0,0.7777777777777778,0.8333333333333334
0.05,50.0,3.0,0.7777777777777778,0.8333333333333334
0.001,10.0,5.0,0.7777777777777778,0.8235294117647058
0.001,30.0,3.0,0.7407407407407407,0.8
0.001,30.0,5.0,0.7407407407407407,0.8
0.1,50.0,5.0,0.7407407407407407,0.8
0.1,30.0,3.0,0.7407407407407407,0.7878787878787878
0.1,10.0,3.0,0.7407407407407407,0.7878787878787878
0.001,10.0,3.0,0.7407407407407407,0.7878787878787878
0.1,50.0,3.0,0.7037037037037037,0.7777777777777778
0.1,30.0,5.0,0.7037037037037037,0.7647058823529411
0.05,10.0,3.0,0.7037037037037037,0.75
0.05,50.0,5.0,0.7407407407407407,0.7407407407407407
0.05,30.0,3.0,0.6666666666666666,0.7096774193548387
0.05,10.0,5.0,0.5925925925925926,0.56
0.1,10.0,5.0,0.5925925925925926,0.5217391304347826
