learning_rate,epochs,context_size,accuracy,f1_score
0.05,10.0,3.0,0.95,0.96
0.1,30.0,3.0,0.95,0.96
0.1,50.0,3.0,0.9,0.9285714285714286
0.05,50.0,3.0,0.9,0.9230769230769231
0.1,30.0,5.0,0.9,0.9166666666666666
0.05,30.0,5.0,0.9,0.9166666666666666
0.05,50.0,5.0,0.9,0.9166666666666666
0.001,50.0,3.0,0.85,0.8888888888888888
0.1,10.0,3.0,0.85,0.8888888888888888
0.001,30.0,5.0,0.85,0.8888888888888888
0.05,30.0,3.0,0.85,0.88
0.001,30.0,3.0,0.85,0.88
0.001,50.0,5.0,0.8,0.8571428571428571
0.001,10.0,5.0,0.8,0.8461538461538461
0.05,10.0,5.0,0.8,0.8181818181818182
0.1,50.0,5.0,0.7,0.8
0.001,10.0,3.0,0.7,0.7692307692307693
0.1,10.0,5.0,0.6,0.5555555555555556
