learning_rate,epochs,context_size,accuracy,f1_score
0.1,30.0,5.0,0.8,0.7142857142857143
0.1,30.0,3.0,0.8,0.7142857142857143
0.05,10.0,3.0,0.75,0.7058823529411765
0.1,10.0,3.0,0.75,0.7058823529411765
0.001,30.0,5.0,0.75,0.6153846153846154
0.05,30.0,3.0,0.75,0.6153846153846154
0.001,10.0,3.0,0.7,0.5714285714285714
0.001,50.0,3.0,0.75,0.5454545454545454
0.05,10.0,5.0,0.65,0.5333333333333333
0.001,10.0,5.0,0.7,0.5
0.1,50.0,3.0,0.7,0.5
0.001,50.0,5.0,0.7,0.4
0.05,50.0,5.0,0.7,0.4
0.05,50.0,3.0,0.7,0.4
0.001,30.0,3.0,0.65,0.36363636363636365
0.1,50.0,5.0,0.65,0.2222222222222222
0.05,30.0,5.0,0.6,0.2
0.1,10.0,5.0,0.65,0.0
