learning_rate,epochs,context_size,accuracy,f1_score
0.1,50.0,5.0,1.0,1.0
0.001,30.0,3.0,0.9811320754716981,0.8571428571428571
0.001,50.0,3.0,0.9811320754716981,0.8571428571428571
0.05,50.0,5.0,0.9811320754716981,0.8571428571428571
0.001,50.0,5.0,0.9811320754716981,0.8571428571428571
0.05,50.0,3.0,0.9811320754716981,0.8571428571428571
0.1,30.0,3.0,0.9811320754716981,0.8571428571428571
0.1,50.0,3.0,0.9811320754716981,0.8571428571428571
0.001,30.0,5.0,0.9622641509433962,0.75
0.001,10.0,5.0,0.9622641509433962,0.75
0.05,30.0,5.0,0.9245283018867925,0.6
0.05,30.0,3.0,0.9056603773584906,0.5454545454545454
0.1,30.0,5.0,0.9056603773584906,0.5454545454545454
0.1,10.0,3.0,0.8490566037735849,0.42857142857142855
0.05,10.0,5.0,0.7924528301886793,0.35294117647058826
0.05,10.0,3.0,0.6792452830188679,0.2608695652173913
0.001,10.0,3.0,0.660377358490566,0.25
0.1,10.0,5.0,0.6415094339622641,0.24
